hour,dif_tide_height,current_dir,wave_height,current_speed,wind_speed,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.625,0.05106383,0.078935185,0.161290323,0.271487448,0.264150943,0,1,9,0.097686375,0.183967841,0.023825315,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.026493349
0.666666667,0.080851064,0.12974537,0.139589443,0.104608468,0.349056604,0,1,1,0.065552699,0.183967841,0.015568822,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.017778431
0.708333333,0.072340426,0.545486111,0.107331378,0.103859123,0.330188679,0,1,3,0.039845758,0.183967841,0.00926897,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.010806497
0.75,0.093617021,0.577453704,0.099120234,0.276133383,0.198113208,0,1,10,0.064267352,0.183967841,0.015247559,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.017429835
0.791666667,0.059574468,0.562986111,0.096774194,0.367103784,0.075471698,0,1,10,0.064267352,0.183967841,0.015247559,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.017429835
0.833333333,0.021276596,0.57212963,0.078005865,0.45477707,0.235849057,1,1,10,0.064267352,0.183967841,0.015247559,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.017429835
0.875,0.029787234,0.53400463,0.079765396,0.419258149,0.169811321,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.916666667,0.055319149,0.511365741,0.084457478,0.304233795,0.075471698,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.958333333,0.09787234,0.341157408,0.102052786,0.168077932,0.113207547,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
1,0.093617021,0.131990741,0.11143695,0.304233795,0.066037736,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.041666667,0.085106383,0.073935185,0.117888563,0.502884975,0.018867925,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.083333333,0.029787234,0.053032407,0.118475073,0.540352192,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.125,0.034042553,0.046180556,0.123167155,0.458448857,0.047169811,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.166666667,0.076595745,0.428194444,0.130205279,0.297414762,0.169811321,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.208333333,0.106382979,0.908564815,0.137829912,0.104083927,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.25,0.089361702,0.738310185,0.120821115,0.106107156,0.103773585,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.291666667,0.055319149,0.624259259,0.108504399,0.214387411,0.113207547,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.333333333,0.034042553,0.585208333,0.103225807,0.414687149,0.122641509,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.375,0.025531915,0.547268519,0.117302053,0.467890596,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.416666667,0.059574468,0.539467593,0.11085044,0.396253278,0.254716981,0,1,6,0.196658098,0.183967841,0.05230174,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.053335294
0.458333333,0.072340426,0.495601852,0.09032258,0.282128138,0.066037736,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.5,0.10212766,0.275454545,0.090055985,0.148458735,0.103773585,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.541666667,0.059574468,0.114791667,0.083870968,0.292993631,0.20754717,0,1,9,0.097686375,0.183967841,0.023825315,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.026493349
0.583333333,0.029787234,0.06962963,0.078005865,0.402173098,0.150943396,0,1,13,0.073264781,0.183967841,0.017510643,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.019870011
0.625,0.05106383,0.042430556,0.078592376,0.365605095,0.141509434,0,1,9,0.097686375,0.183967841,0.023825315,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.026493349
0.666666667,0.110638298,0.497800926,0.063929619,0.250131135,0.094339623,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.708333333,0.106382979,0.884191919,0.065742469,0.110364794,0.122641509,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.75,0.127659574,0.716666667,0.064516129,0.124840764,0.056603774,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.791666667,0.114893617,0.610046296,0.136070381,0.209441738,0.169811321,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.833333333,0.055319149,0.566712963,0.114956012,0.405020607,0.264150943,0,1,10,0.064267352,0.183967841,0.015247559,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.017429835
0.875,0.05106383,0.537453704,0.115542522,0.43297115,0.311320755,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.916666667,0.093617021,0.529467593,0.112609971,0.430123642,0.226415094,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.958333333,0.080851064,0.46599537,0.11085044,0.24885725,0.320754717,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
1,0.127659574,0.226805556,0.11026393,0.205695017,0.29245283,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.041666667,0.093617021,0.1075,0.08914956,0.434844511,0.254716981,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.083333333,0.093617021,0.065347222,0.06744868,0.544248782,0.132075472,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.125,0.05106383,0.049050926,0.060997068,0.515698763,0.188679245,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.166666667,0.085106383,0.023888889,0.059237537,0.383814163,0.198113208,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.208333333,0.09787234,0.88,0.069794722,0.235294118,0.132075472,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.25,0.093617021,0.786018519,0.108504399,0.103784189,0.066037736,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.291666667,0.09787234,0.660648148,0.112023461,0.22840015,0.028301887,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.333333333,0.05106383,0.598032408,0.123753665,0.384188835,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.375,0.029787234,0.565601852,0.114369501,0.508505058,0.037735849,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
