hour,wave_height,tide_variation,drowning,prediction,cluster,p(s|pred),p(drowning),p(~drowning),p(pred|drowning),p(pred|~drowning),p(drowning|pred),p(drowning|pred)*p(s|pred)
0.04166666666666666,0.35425219926199464,0.07025411061285501,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.08333333333333333,0.3431085044793217,0.1210762331838565,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.125,0.38240469193722093,0.4775784753363229,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.16666666666666666,0.3618768331640767,0.2473841554559044,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.20833333333333331,0.29853372464481737,0.21001494768310916,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.25,0.2914956014760108,0.2929745889387145,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.2916666666666667,0.2697947212363155,0.1681614349775785,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.3333333333333333,0.2692082112068524,0.2488789237668161,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.375,0.25043988252209737,0.26681614349775784,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.4166666666666667,0.30557184781362395,0.3236173393124066,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.4583333333333333,0.34780058682646353,0.4910313901345292,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.5,0.34134897368712,0.21674140508221226,0,1,1,1.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.026863084922010397,0.026863084922010397
0.5416666666666666,0.33431085051831344,0.2884902840059791,0,1,1,1.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.026863084922010397,0.026863084922010397
0.5833333333333334,0.33137829896337323,0.16068759342301944,0,1,1,1.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.026863084922010397,0.026863084922010397
0.625,0.2844574783072041,0.4521674140508222,0,1,1,1.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.026863084922010397,0.026863084922010397
0.6666666666666666,0.2404692085021629,0.1883408071748879,0,1,1,1.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.026863084922010397,0.026863084922010397
0.7083333333333334,0.20703812345033154,0.43273542600896864,0,1,1,1.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.026863084922010397,0.026863084922010397
0.75,0.1888563047950396,0.3034379671150972,0,1,1,1.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.026863084922010397,0.026863084922010397
0.7916666666666666,0.181818181626233,0.1195814648729447,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.8333333333333334,0.15073313809987873,0.04708520179372197,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.875,0.1348973609700639,0.12257100149476832,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.9166666666666666,0.1677419352886198,0.20104633781763828,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.9583333333333334,0.1782991200418297,0.3071748878923767,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
1.0,0.19706744872658472,0.4917787742899851,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.04166666666666666,0.21759530820354145,0.234678624813154,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.08333333333333333,0.22111436978794471,0.032137518684603884,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.125,0.20762463347979465,0.14125560538116594,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.16666666666666666,0.2234604106096095,0.15769805680119586,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.20833333333333331,0.21935483899574307,0.5642750373692077,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.25,0.2434017593532907,0.20553064275037367,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.2916666666666667,0.2627565980675089,0.10014947683109117,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.3333333333333333,0.259824047216381,0.04783258594917787,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.375,0.12961876859345894,0.16143497757847536,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.4166666666666667,0.2498533724926342,0.4446935724962631,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.0,0.0
0.4583333333333333,0.26392961883024746,0.36696562032884905,0,1,1,1.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.026863084922010397,0.026863084922010397
0.5,0.252199413314299,0.3587443946188341,0,1,1,1.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.026863084922010397,0.026863084922010397
0.5416666666666666,0.2134897358858627,0.11509715994020925,0,1,1,1.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.026863084922010397,0.026863084922010397
0.5833333333333334,0.1847507331811732,0.0687593423019432,0,1,1,1.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.26769964243146604,0.026863084922010397,0.026863084922010397
