hour,wave_height,water_temp,dif_tide_height,current_speed,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.666666667,0.139589443,0.268930466,0.080851064,0.104608468,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.708333333,0.107331378,0.276443724,0.072340426,0.103859123,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.75,0.099120234,0.287050678,0.093617021,0.276133383,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.791666667,0.096774194,0.283128315,0.059574468,0.367103784,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.833333333,0.078005865,0.261859163,0.021276596,0.45477707,1,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.875,0.079765396,0.271858426,0.029787234,0.419258149,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.916666667,0.084457478,0.226613141,0.055319149,0.304233795,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.958333333,0.102052786,0.200592958,0.09787234,0.168077932,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
1,0.11143695,0.221585887,0.093617021,0.304233795,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.041666667,0.117888563,0.211641868,0.085106383,0.502884975,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.083333333,0.118475073,0.205343989,0.029787234,0.540352192,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.125,0.123167155,0.213962139,0.034042553,0.458448857,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.166666667,0.130205279,0.198106953,0.076595745,0.297414762,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.208333333,0.137829912,0.202692251,0.106382979,0.104083927,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.25,0.120821115,0.217166323,0.089361702,0.106107156,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.291666667,0.108504399,0.225563494,0.055319149,0.214387411,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.333333333,0.103225807,0.228767678,0.034042553,0.414687149,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.375,0.117302053,0.225397761,0.025531915,0.467890596,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.416666667,0.11085044,0.203907631,0.059574468,0.396253278,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.458333333,0.09032258,0.198714644,0.072340426,0.282128138,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.5,0.090055985,0.202978518,0.10212766,0.148458735,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.541666667,0.083870968,0.21567472,0.059574468,0.292993631,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.583333333,0.078005865,0.220591485,0.029787234,0.402173098,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.625,0.078592376,0.222801267,0.05106383,0.365605095,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.666666667,0.063929619,0.222746022,0.110638298,0.250131135,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.708333333,0.065742469,0.285242674,0.106382979,0.110364794,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.75,0.064516129,0.29412198,0.127659574,0.124840764,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.791666667,0.136070381,0.282078668,0.114893617,0.209441738,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.833333333,0.114956012,0.268654243,0.055319149,0.405020607,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.875,0.115542522,0.231253683,0.05106383,0.43297115,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.916666667,0.112609971,0.206062168,0.093617021,0.430123642,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.958333333,0.11085044,0.209376841,0.080851064,0.24885725,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
1,0.11026393,0.206614614,0.127659574,0.205695017,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.041666667,0.08914956,0.220978197,0.093617021,0.434844511,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.083333333,0.06744868,0.224955804,0.093617021,0.544248782,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.125,0.060997068,0.233352976,0.05106383,0.515698763,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.166666667,0.059237537,0.211089423,0.085106383,0.383814163,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.208333333,0.069794722,0.210592222,0.09787234,0.235294118,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.25,0.108504399,0.212083825,0.093617021,0.103784189,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.291666667,0.112023461,0.220260018,0.09787234,0.22840015,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.333333333,0.123753665,0.227828521,0.05106383,0.384188835,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.375,0.114369501,0.231750884,0.029787234,0.508505058,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.416666667,0.086803519,0.219652327,0.042553191,0.450880479,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.458333333,0.11085044,0.217608279,0.076595745,0.387560884,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.5,0.121407625,0.226944608,0.106382979,0.222705133,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.541666667,0.102052786,0.220978197,0.093617021,0.174222555,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.583333333,0.11026393,0.255616529,0.076595745,0.350992881,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.625,0.104985338,0.264345168,0.038297872,0.353540652,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.666666667,0.111810184,0.27276745,0.059574468,0.257754011,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.708333333,0.090909091,0.269759134,0.076595745,0.145447733,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.75,0.103225807,0.291138775,0.072340426,0.121693518,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.791666667,0.08973607,0.29655274,0.089361702,0.344023979,1,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.833333333,0.097733937,0.262642631,0.085106383,0.48934228,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.875,0.082378033,0.252035678,0.063829787,0.484273987,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.916666667,0.091495601,0.221088686,0.046808511,0.462270513,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.958333333,0.096454279,0.216357743,0.063829787,0.352825369,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
1,0.106744868,0.217718769,0.136170213,0.203746722,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.041666667,0.109890696,0.214911341,0.144680851,0.305494056,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.083333333,0.104985338,0.214569829,0.09787234,0.484600974,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.125,0.096187684,0.2168901,0.05106383,0.579093293,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.166666667,0.103812317,0.217442546,0.046808511,0.466766579,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.208333333,0.099706745,0.228988657,0.063829787,0.32476583,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.25,0.106744868,0.235120802,0.114893617,0.159685275,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.291666667,0.09032258,0.238490719,0.106382979,0.085575122,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.333333333,0.080938416,0.235176046,0.106382979,0.275833645,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.375,0.075659824,0.236501915,0.042553191,0.470738104,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.416666667,0.069208211,0.237662051,0.025531915,0.486774073,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.458333333,0.070381232,0.21020551,0.063829787,0.468415137,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.5,0.080351906,0.215564231,0.110638298,0.360134882,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.541666667,0.073900293,0.216669122,0.127659574,0.183664294,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.583333333,0.082697947,0.210702711,0.123404255,0.286774073,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.625,0.090695814,0.285965875,0.106382979,0.367866753,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.666666667,0.107331378,0.273571008,0.05106383,0.366729112,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.708333333,0.109677419,0.259815115,0.059574468,0.229449232,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.75,0.098533724,0.279979375,0.085106383,0.073735481,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.791666667,0.083870968,0.273791986,0.076595745,0.196777819,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.833333333,0.064516129,0.272134649,0.131914894,0.426152117,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.875,0.070861104,0.250107141,0.059574468,0.555148336,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.916666667,0.09032258,0.234236888,0.038297872,0.493068565,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.958333333,0.076832845,0.214404096,0.046808511,0.475009367,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
1,0.068035191,0.217663524,0.10212766,0.294492319,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.041666667,0.069581445,0.220275084,0.093617021,0.165707279,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.083333333,0.079178886,0.212581026,0.110638298,0.389059573,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.125,0.079178886,0.206448881,0.076595745,0.524990633,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.166666667,0.074486803,0.214901297,0.034042553,0.547845635,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.208333333,0.075659824,0.223298468,0.059574468,0.40591982,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.25,0.072140762,0.235618003,0.063829787,0.276957662,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.291666667,0.069208211,0.243904685,0.10212766,0.101985762,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.333333333,0.076832845,0.246114467,0.110638298,0.131884601,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.375,0.081524926,0.240534767,0.076595745,0.30093668,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.416666667,0.068621701,0.239264143,0.05106383,0.508055451,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.458333333,0.075659824,0.22915439,0.042553191,0.515324091,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.5,0.065102639,0.212304803,0.085106383,0.434095167,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.541666667,0.076246334,0.225066294,0.093617021,0.258149119,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.583333333,0.108504399,0.218492192,0.106382979,0.168227801,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.625,0.138043189,0.244080463,0.09787234,0.371954085,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.666666667,0.13372434,0.284122716,0.042553191,0.438441364,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.708333333,0.148856305,0.296994697,0.055319149,0.388115399,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.75,0.15483871,0.268930466,0.09787234,0.195578868,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.791666667,0.144868035,0.257550088,0.119148936,0.043162233,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.833333333,0.105571848,0.269814378,0.131914894,0.241888348,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.875,0.098533724,0.277493371,0.106382979,0.459123267,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.916666667,0.107331378,0.262024897,0.085106383,0.489171974,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.958333333,0.096774194,0.243186505,0.068085106,0.465118022,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
1,0.080938416,0.225287272,0.085106383,0.399250656,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.041666667,0.078005865,0.225673984,0.10212766,0.237242413,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.083333333,0.100293255,0.223906158,0.131914894,0.254027726,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.125,0.08914956,0.222138332,0.093617021,0.480104908,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.166666667,0.100293255,0.230590748,0.072340426,0.568677407,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.208333333,0.091495601,0.228215233,0.072340426,0.524466092,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.25,0.08797654,0.231861373,0.080851064,0.357437242,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.291666667,0.09032258,0.242799794,0.093617021,0.213263394,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.333333333,0.118848307,0.248841538,0.093617021,0.101944889,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.375,0.160437216,0.245466599,0.127659574,0.281378793,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.416666667,0.088136497,0.242935394,0.106382979,0.485990667,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.458333333,0.070381232,0.247164113,0.153191489,0.540127388,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.5,0.096774194,0.221641131,0.204255319,0.512701386,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.541666667,0.1542522,0.210039776,0.174468085,0.428475084,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.583333333,0.135483871,0.222083088,0.131914894,0.235743724,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.625,0.107917888,0.221088686,0.114893617,0.261146497,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.666666667,0.123753665,0.226281673,0.089361702,0.345822405,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.708333333,0.194988004,0.24414073,0.089361702,0.298463844,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.75,0.253372434,0.246777401,0.076595745,0.210415886,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.791666667,0.256891496,0.235286535,0.093617021,0.063094792,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.833333333,0.188589709,0.237451117,0.089361702,0.095977383,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.875,0.160117302,0.232690041,0.110638298,0.371824653,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.916666667,0.171847508,0.234402622,0.068085106,0.517796928,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.958333333,0.226392962,0.240148055,0.072340426,0.530760584,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
1,0.217008797,0.216503388,0.05106383,0.489696515,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.041666667,0.168328446,0.21943135,0.119148936,0.352416635,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.083333333,0.182404692,0.222469799,0.123404255,0.153915324,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.125,0.164222874,0.216227166,0.119148936,0.313825403,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.166666667,0.231085044,0.205675457,0.09787234,0.474934432,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.208333333,0.309677419,0.210315999,0.080851064,0.512851255,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.25,0.295014663,0.214901297,0.093617021,0.417684526,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
