hour,wave_height,current_speed,tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.791666667,0.096774194,0.367103784,0.673815907,0,1,5,0.155743481,0.335540317,0.085217606,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.023158474
0.833333333,0.078005865,0.45477707,0.747430742,1,1,5,0.155743481,0.335540317,0.085217606,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.023158474
0.875,0.079765396,0.419258149,0.750670241,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.916666667,0.084457478,0.304233795,0.676720286,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.958333333,0.102052786,0.168077932,0.545911528,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
1,0.11143695,0.304233795,0.367515639,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.041666667,0.117888563,0.502884975,0.203522612,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.083333333,0.118475073,0.540352192,0.109137623,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.125,0.123167155,0.458448857,0.096738159,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.166666667,0.130205279,0.297414762,0.188561215,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.208333333,0.137829912,0.104083927,0.348413762,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.25,0.120821115,0.106107156,0.511282395,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.291666667,0.108504399,0.214387411,0.625335121,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.333333333,0.103225807,0.414687149,0.697944593,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.375,0.117302053,0.467890596,0.69919571,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.416666667,0.11085044,0.396253278,0.625335121,0,1,5,0.155743481,0.335540317,0.085217606,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.023158474
0.458333333,0.09032258,0.282128138,0.508378016,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.5,0.090055985,0.148458735,0.355339589,0,1,1,0.290345314,0.335540317,0.171229342,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.043173264
0.541666667,0.083870968,0.292993631,0.219615728,0,1,3,0.194503171,0.335540317,0.108685119,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.028921895
0.583333333,0.078005865,0.402173098,0.146671135,0,1,3,0.194503171,0.335540317,0.108685119,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.028921895
0.625,0.078592376,0.365605095,0.119079535,0,1,3,0.194503171,0.335540317,0.108685119,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.028921895
0.666666667,0.063929619,0.250131135,0.194258266,0,1,3,0.194503171,0.335540317,0.108685119,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.028921895
0.708333333,0.065742469,0.110364794,0.34707328,0,1,1,0.290345314,0.335540317,0.171229342,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.043173264
0.75,0.064516129,0.124840764,0.4967605,0,1,2,0.319943622,0.335540317,0.191969548,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.047574422
0.791666667,0.136070381,0.209441738,0.671581769,0,1,2,0.319943622,0.335540317,0.191969548,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.047574422
0.833333333,0.114956012,0.405020607,0.804736372,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.875,0.115542522,0.43297115,0.851876676,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.916666667,0.112609971,0.430123642,0.819034853,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.958333333,0.11085044,0.24885725,0.692582663,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
1,0.11026393,0.205695017,0.517426273,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.041666667,0.08914956,0.434844511,0.334823979,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.083333333,0.06744868,0.544248782,0.188896336,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.125,0.060997068,0.515698763,0.129579982,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.166666667,0.059237537,0.383814163,0.17727882,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.208333333,0.069794722,0.235294118,0.289209115,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.25,0.108504399,0.103784189,0.426831993,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.291666667,0.112023461,0.22840015,0.594280608,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.333333333,0.123753665,0.384188835,0.70487042,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.375,0.114369501,0.508505058,0.751005362,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.416666667,0.086803519,0.450880479,0.723748883,0,1,5,0.155743481,0.335540317,0.085217606,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.023158474
0.458333333,0.11085044,0.387560884,0.626117069,0,1,5,0.155743481,0.335540317,0.085217606,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.023158474
0.5,0.121407625,0.222705133,0.481791778,0,1,2,0.319943622,0.335540317,0.191969548,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.047574422
0.541666667,0.102052786,0.174222555,0.321939231,0,1,1,0.290345314,0.335540317,0.171229342,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.043173264
0.583333333,0.11026393,0.350992881,0.2012958,0,1,3,0.194503171,0.335540317,0.108685119,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.028921895
0.625,0.104985338,0.353540652,0.135835567,0,1,3,0.194503171,0.335540317,0.108685119,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.028921895
0.666666667,0.111810184,0.257754011,0.156389634,0,1,3,0.194503171,0.335540317,0.108685119,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.028921895
0.708333333,0.090909091,0.145447733,0.263851653,0,1,1,0.290345314,0.335540317,0.171229342,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.043173264
0.75,0.103225807,0.121693518,0.409070599,0,1,1,0.290345314,0.335540317,0.171229342,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.043173264
0.791666667,0.08973607,0.344023979,0.557193923,1,1,2,0.319943622,0.335540317,0.191969548,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.047574422
0.833333333,0.097733937,0.48934228,0.721626452,0,1,5,0.155743481,0.335540317,0.085217606,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.023158474
0.875,0.082378033,0.484273987,0.809874888,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.916666667,0.091495601,0.462270513,0.822386059,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.958333333,0.096454279,0.352825369,0.765303842,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
1,0.106744868,0.203746722,0.621648794,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.041666667,0.109890696,0.305494056,0.43230563,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
