hour,current_dir,water_temp,wind_speed,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.833333333,0.57212963,0.261859163,0.235849057,1,1,3,0.215909091,0.312130527,0.111071253,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.034512741
0.875,0.53400463,0.271858426,0.169811321,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.916666667,0.511365741,0.226613141,0.075471698,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.958333333,0.341157408,0.200592958,0.113207547,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
1,0.131990741,0.221585887,0.066037736,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.041666667,0.073935185,0.211641868,0.018867925,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.083333333,0.053032407,0.205343989,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.125,0.046180556,0.213962139,0.047169811,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.166666667,0.428194444,0.198106953,0.169811321,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.208333333,0.908564815,0.202692251,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.25,0.738310185,0.217166323,0.103773585,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.291666667,0.624259259,0.225563494,0.113207547,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.333333333,0.585208333,0.228767678,0.122641509,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.375,0.547268519,0.225397761,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.416666667,0.539467593,0.203907631,0.254716981,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.458333333,0.495601852,0.198714644,0.066037736,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.5,0.275454545,0.202978518,0.103773585,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.541666667,0.114791667,0.21567472,0.20754717,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.583333333,0.06962963,0.220591485,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.625,0.042430556,0.222801267,0.141509434,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.666666667,0.497800926,0.222746022,0.094339623,0,1,3,0.215909091,0.312130527,0.111071253,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.034512741
0.708333333,0.884191919,0.285242674,0.122641509,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.75,0.716666667,0.29412198,0.056603774,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.791666667,0.610046296,0.282078668,0.169811321,0,1,3,0.215909091,0.312130527,0.111071253,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.034512741
0.833333333,0.566712963,0.268654243,0.264150943,0,1,3,0.215909091,0.312130527,0.111071253,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.034512741
0.875,0.537453704,0.231253683,0.311320755,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.916666667,0.529467593,0.206062168,0.226415094,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.958333333,0.46599537,0.209376841,0.320754717,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
1,0.226805556,0.206614614,0.29245283,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.041666667,0.1075,0.220978197,0.254716981,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.083333333,0.065347222,0.224955804,0.132075472,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.125,0.049050926,0.233352976,0.188679245,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.166666667,0.023888889,0.211089423,0.198113208,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.208333333,0.88,0.210592222,0.132075472,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.25,0.786018519,0.212083825,0.066037736,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.291666667,0.660648148,0.220260018,0.028301887,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.333333333,0.598032408,0.227828521,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.375,0.565601852,0.231750884,0.037735849,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.416666667,0.544212963,0.219652327,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.458333333,0.527824074,0.217608279,0.160377358,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.5,0.469467593,0.226944608,0.188679245,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.541666667,0.206712963,0.220978197,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.583333333,0.12,0.255616529,0.20754717,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.625,0.083078704,0.264345168,0.08490566,0,1,4,0.271969697,0.312130527,0.144942741,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.043473944
0.666666667,0.060656566,0.27276745,0.103773585,0,1,4,0.271969697,0.312130527,0.144942741,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.043473944
0.708333333,0.034074074,0.269759134,0.245283019,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.75,0.733657408,0.291138775,0.198113208,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.791666667,0.578796296,0.29655274,0.056603774,1,1,3,0.215909091,0.312130527,0.111071253,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.034512741
0.833333333,0.56030303,0.262642631,0.037735849,0,1,3,0.215909091,0.312130527,0.111071253,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.034512741
0.875,0.55989899,0.252035678,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.916666667,0.543217593,0.221088686,0.009433962,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.958333333,0.521893939,0.216357743,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
1,0.374143519,0.217718769,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.041666667,0.140984848,0.214911341,0.132075472,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.083333333,0.0725,0.214569829,0.160377358,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
