hour,dif_tide_height,water_temp,tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.083333333,0.029787234,0.205343989,0.109137623,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.125,0.034042553,0.213962139,0.096738159,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.166666667,0.076595745,0.198106953,0.188561215,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.208333333,0.106382979,0.202692251,0.348413762,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.25,0.089361702,0.217166323,0.511282395,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.291666667,0.055319149,0.225563494,0.625335121,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.333333333,0.034042553,0.228767678,0.697944593,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.375,0.025531915,0.225397761,0.69919571,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.416666667,0.059574468,0.203907631,0.625335121,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.458333333,0.072340426,0.198714644,0.508378016,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.5,0.10212766,0.202978518,0.355339589,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.541666667,0.059574468,0.21567472,0.219615728,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.583333333,0.029787234,0.220591485,0.146671135,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.625,0.05106383,0.222801267,0.119079535,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.666666667,0.110638298,0.222746022,0.194258266,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.708333333,0.106382979,0.285242674,0.34707328,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.75,0.127659574,0.29412198,0.4967605,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.791666667,0.114893617,0.282078668,0.671581769,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.833333333,0.055319149,0.268654243,0.804736372,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.875,0.05106383,0.231253683,0.851876676,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.916666667,0.093617021,0.206062168,0.819034853,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.958333333,0.080851064,0.209376841,0.692582663,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
1,0.127659574,0.206614614,0.517426273,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.041666667,0.093617021,0.220978197,0.334823979,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.083333333,0.093617021,0.224955804,0.188896336,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.125,0.05106383,0.233352976,0.129579982,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.166666667,0.085106383,0.211089423,0.17727882,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.208333333,0.09787234,0.210592222,0.289209115,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.25,0.093617021,0.212083825,0.426831993,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.291666667,0.09787234,0.220260018,0.594280608,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.333333333,0.05106383,0.227828521,0.70487042,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.375,0.029787234,0.231750884,0.751005362,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.416666667,0.042553191,0.219652327,0.723748883,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.458333333,0.076595745,0.217608279,0.626117069,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.5,0.106382979,0.226944608,0.481791778,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.541666667,0.093617021,0.220978197,0.321939231,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.583333333,0.076595745,0.255616529,0.2012958,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.625,0.038297872,0.264345168,0.135835567,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.666666667,0.059574468,0.27276745,0.156389634,0,1,2,0.152555911,0.296051076,0.070379951,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.025710301
0.708333333,0.076595745,0.269759134,0.263851653,0,1,2,0.152555911,0.296051076,0.070379951,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.025710301
0.75,0.072340426,0.291138775,0.409070599,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.791666667,0.089361702,0.29655274,0.557193923,1,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.833333333,0.085106383,0.262642631,0.721626452,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.875,0.063829787,0.252035678,0.809874888,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.916666667,0.046808511,0.221088686,0.822386059,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.958333333,0.063829787,0.216357743,0.765303842,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
1,0.136170213,0.217718769,0.621648794,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.041666667,0.144680851,0.214911341,0.43230563,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.083333333,0.09787234,0.214569829,0.25681412,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.125,0.05106383,0.2168901,0.138181412,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.166666667,0.046808511,0.217442546,0.120420018,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.208333333,0.063829787,0.228988657,0.191465594,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.25,0.114893617,0.235120802,0.334226988,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.291666667,0.106382979,0.238490719,0.493297587,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.333333333,0.106382979,0.235176046,0.627457552,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.375,0.042553191,0.236501915,0.713248436,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.416666667,0.025531915,0.237662051,0.739499553,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.458333333,0.063829787,0.21020551,0.695375335,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.5,0.110638298,0.215564231,0.556411975,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.541666667,0.127659574,0.216669122,0.399575514,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.583333333,0.123404255,0.210702711,0.273905273,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.625,0.106382979,0.285965875,0.174262735,0,1,2,0.152555911,0.296051076,0.070379951,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.025710301
0.666666667,0.05106383,0.273571008,0.142873101,0,1,2,0.152555911,0.296051076,0.070379951,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.025710301
0.708333333,0.059574468,0.259815115,0.213136729,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.75,0.085106383,0.279979375,0.326519214,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.791666667,0.076595745,0.273791986,0.47419571,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.833333333,0.131914894,0.272134649,0.646112601,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.875,0.059574468,0.250107141,0.754244861,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.916666667,0.038297872,0.234236888,0.824620196,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.958333333,0.046808511,0.214404096,0.817247542,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
1,0.10212766,0.217663524,0.715482574,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.041666667,0.093617021,0.220275084,0.539851888,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.083333333,0.110638298,0.212581026,0.350201072,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.125,0.076595745,0.206448881,0.205093834,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.166666667,0.034042553,0.214901297,0.117180518,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.208333333,0.059574468,0.223298468,0.13538874,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.25,0.063829787,0.235618003,0.240393208,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.291666667,0.10212766,0.243904685,0.370308311,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.333333333,0.110638298,0.246114467,0.508824844,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.375,0.076595745,0.240534767,0.615393208,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.416666667,0.05106383,0.239264143,0.711349419,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
