hour,wave_height,current_dir,wind_dir,dif_tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(drifting),p(pred|drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.875,0.079765396,0.53400463,0.803888889,0.029787234,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.916666667,0.084457478,0.511365741,0.690555556,0.055319149,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.958333333,0.102052786,0.341157408,0.075833333,0.09787234,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
1,0.11143695,0.131990741,0.564166667,0.093617021,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.041666667,0.117888563,0.073935185,0,0.085106383,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.083333333,0.118475073,0.053032407,0.5775,0.029787234,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.125,0.123167155,0.046180556,0.559444444,0.034042553,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.166666667,0.130205279,0.428194444,0.5725,0.076595745,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.208333333,0.137829912,0.908564815,0.321666667,0.106382979,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.25,0.120821115,0.738310185,0.37,0.089361702,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.291666667,0.108504399,0.624259259,0.3575,0.055319149,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.333333333,0.103225807,0.585208333,0.468888889,0.034042553,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.375,0.117302053,0.547268519,0.590277778,0.025531915,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.416666667,0.11085044,0.539467593,0.576388889,0.059574468,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.458333333,0.09032258,0.495601852,0.033888889,0.072340426,0,1,9,0.069518717,0.221092457,0.020766738,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.015688181
0.5,0.090055985,0.275454545,0.007222222,0.10212766,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.541666667,0.083870968,0.114791667,0.628333333,0.059574468,0,1,5,0.190374332,0.221092457,0.062567951,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.04296148
0.583333333,0.078005865,0.06962963,0.605555556,0.029787234,0,1,5,0.190374332,0.221092457,0.062567951,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.04296148
0.625,0.078592376,0.042430556,0.736944444,0.05106383,0,1,5,0.190374332,0.221092457,0.062567951,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.04296148
0.666666667,0.063929619,0.497800926,0.0325,0.110638298,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.708333333,0.065742469,0.884191919,0.939166667,0.106382979,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.75,0.064516129,0.716666667,0.8225,0.127659574,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.791666667,0.136070381,0.610046296,0.567777778,0.114893617,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.833333333,0.114956012,0.566712963,0.580833333,0.055319149,0,1,10,0.098395722,0.221092457,0.030046855,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.02220481
0.875,0.115542522,0.537453704,0.646666667,0.05106383,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.916666667,0.112609971,0.529467593,0.968611111,0.093617021,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.958333333,0.11085044,0.46599537,0.951111111,0.080851064,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
