hour,tide_variation,current_speed,tide_height,wind_speed,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.625,0.198804185,0.271487448,0.15113941,0.264150943,0,1,7,0.213899614,0.306218964,0.10722227,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.034851597
0.666666667,0.423019432,0.104608468,0.258378016,0.349056604,0,1,3,0.197683398,0.306218964,0.098084407,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.032209418
0.708333333,0.270553064,0.103859123,0.394883825,0.330188679,0,1,1,0.155984556,0.306218964,0.075419813,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.025415244
0.75,0.218983558,0.276133383,0.534182306,0.198113208,0,1,5,0.196138996,0.306218964,0.097223831,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.031957782
0.791666667,0.2877429,0.367103784,0.673815907,0.075471698,0,1,5,0.196138996,0.306218964,0.097223831,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.031957782
0.833333333,0.065769806,0.45477707,0.747430742,0.235849057,1,1,5,0.196138996,0.306218964,0.097223831,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.031957782
0.875,0.069506726,0.419258149,0.750670241,0.169811321,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.916666667,0.268310912,0.304233795,0.676720286,0.075471698,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.958333333,0.303437967,0.168077932,0.545911528,0.113207547,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
1,0.47309417,0.304233795,0.367515639,0.066037736,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.041666667,0.201793722,0.502884975,0.203522612,0.018867925,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.083333333,0.091180867,0.540352192,0.109137623,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.125,0.099402093,0.458448857,0.096738159,0.047169811,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.166666667,0.265321375,0.297414762,0.188561215,0.169811321,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.208333333,0.587443946,0.104083927,0.348413762,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.25,0.399103139,0.106107156,0.511282395,0.103773585,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.291666667,0.235426009,0.214387411,0.625335121,0.113207547,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.333333333,0.088938714,0.414687149,0.697944593,0.122641509,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.375,0.043348281,0.467890596,0.69919571,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.416666667,0.263079223,0.396253278,0.625335121,0.254716981,0,1,4,0.085714286,0.306218964,0.039734896,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.013965803
0.458333333,0.412556054,0.282128138,0.508378016,0.066037736,0,1,3,0.197683398,0.306218964,0.098084407,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.032209418
0.5,0.236173393,0.148458735,0.355339589,0.103773585,0,1,1,0.155984556,0.306218964,0.075419813,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.025415244
0.541666667,0.27877429,0.292993631,0.219615728,0.20754717,0,1,7,0.213899614,0.306218964,0.10722227,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.034851597
0.583333333,0.086696562,0.402173098,0.146671135,0.150943396,0,1,7,0.213899614,0.306218964,0.10722227,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.034851597
0.625,0.277279522,0.365605095,0.119079535,0.141509434,0,1,7,0.213899614,0.306218964,0.10722227,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.034851597
0.666666667,0.23019432,0.250131135,0.194258266,0.094339623,0,1,7,0.213899614,0.306218964,0.10722227,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.034851597
0.708333333,0.605381166,0.110364794,0.34707328,0.122641509,0,1,3,0.197683398,0.306218964,0.098084407,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.032209418
0.75,0.411061286,0.124840764,0.4967605,0.056603774,0,1,3,0.197683398,0.306218964,0.098084407,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.032209418
0.791666667,0.437219731,0.209441738,0.671581769,0.169811321,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.833333333,0.159192825,0.405020607,0.804736372,0.264150943,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.875,0.193572496,0.43297115,0.851876676,0.311320755,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.916666667,0.205530643,0.430123642,0.819034853,0.226415094,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.958333333,0.26083707,0.24885725,0.692582663,0.320754717,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
1,0.307174888,0.205695017,0.517426273,0.29245283,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.041666667,0.37593423,0.434844511,0.334823979,0.254716981,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.083333333,0.358744395,0.544248782,0.188896336,0.132075472,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.125,0.262331839,0.515698763,0.129579982,0.188679245,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.166666667,0.159940209,0.383814163,0.17727882,0.198113208,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.208333333,0.324364723,0.235294118,0.289209115,0.132075472,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.25,0.508221226,0.103784189,0.426831993,0.066037736,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.291666667,0.205530643,0.22840015,0.594280608,0.028301887,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.333333333,0.471599402,0.384188835,0.70487042,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.375,0.153961136,0.508505058,0.751005362,0.037735849,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.416666667,0.076233184,0.450880479,0.723748883,0.150943396,0,1,4,0.085714286,0.306218964,0.039734896,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.013965803
0.458333333,0.294469357,0.387560884,0.626117069,0.160377358,0,1,4,0.085714286,0.306218964,0.039734896,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.013965803
0.5,0.499252616,0.222705133,0.481791778,0.188679245,0,1,3,0.197683398,0.306218964,0.098084407,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.032209418
0.541666667,0.220478326,0.174222555,0.321939231,0.150943396,0,1,7,0.213899614,0.306218964,0.10722227,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.034851597
0.583333333,0.138266069,0.350992881,0.2012958,0.20754717,0,1,7,0.213899614,0.306218964,0.10722227,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.034851597
0.625,0.108370703,0.353540652,0.135835567,0.08490566,0,1,7,0.213899614,0.306218964,0.10722227,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.034851597
0.666666667,0.168161435,0.257754011,0.156389634,0.103773585,0,1,7,0.213899614,0.306218964,0.10722227,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.034851597
0.708333333,0.218983558,0.145447733,0.263851653,0.245283019,0,1,7,0.213899614,0.306218964,0.10722227,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.034851597
0.75,0.317638266,0.121693518,0.409070599,0.198113208,0,1,3,0.197683398,0.306218964,0.098084407,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.032209418
0.791666667,0.286248132,0.344023979,0.557193923,0.056603774,1,1,5,0.196138996,0.306218964,0.097223831,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.031957782
0.833333333,0.180119581,0.48934228,0.721626452,0.037735849,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.875,0.414798206,0.484273987,0.809874888,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.916666667,0.144245142,0.462270513,0.822386059,0.009433962,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.958333333,0.198804185,0.352825369,0.765303842,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
1,0.816143498,0.203746722,0.621648794,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.041666667,0.334828102,0.305494056,0.43230563,0.132075472,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.083333333,0.22122571,0.484600974,0.25681412,0.160377358,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.125,0.121076233,0.579093293,0.138181412,0.160377358,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.166666667,0.103886398,0.466766579,0.120420018,0.216981132,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.208333333,0.26980568,0.32476583,0.191465594,0.216981132,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.25,0.561285501,0.159685275,0.334226988,0.179245283,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.291666667,0.464125561,0.085575122,0.493297587,0.264150943,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.333333333,0.715994021,0.275833645,0.627457552,0.169811321,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.375,0.137518685,0.470738104,0.713248436,0.066037736,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.416666667,0.121823617,0.486774073,0.739499553,0.141509434,0,1,4,0.085714286,0.306218964,0.039734896,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.013965803
0.458333333,0.369207773,0.468415137,0.695375335,0.226415094,0,1,4,0.085714286,0.306218964,0.039734896,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.013965803
0.5,0.270553064,0.360134882,0.556411975,0.122641509,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.541666667,0.357249626,0.183664294,0.399575514,0.226415094,0,1,3,0.197683398,0.306218964,0.098084407,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.032209418
0.583333333,0.404334828,0.286774073,0.273905273,0.216981132,0,1,3,0.197683398,0.306218964,0.098084407,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.032209418
0.625,0.48206278,0.367866753,0.174262735,0.235849057,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.666666667,0.171898356,0.366729112,0.142873101,0.377358491,0,1,2,0.065637066,0.306218964,0.03007337,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.010694533
0.708333333,0.223467862,0.229449232,0.213136729,0.320754717,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.75,0.33632287,0.073735481,0.326519214,0.339622642,0,1,3,0.197683398,0.306218964,0.098084407,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.032209418
0.791666667,0.200298954,0.196777819,0.47419571,0.141509434,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.833333333,0.661434978,0.426152117,0.646112601,0.188679245,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.875,0.19058296,0.555148336,0.754244861,0.179245283,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.916666667,0.198056801,0.493068565,0.824620196,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.958333333,0.059043348,0.475009367,0.817247542,0.113207547,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
1,0.333333333,0.294492319,0.715482574,0,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.041666667,0.228699552,0.165707279,0.539851888,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.083333333,0.615844544,0.389059573,0.350201072,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.125,0.332585949,0.524990633,0.205093834,0.169811321,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.166666667,0.091180867,0.547845635,0.117180518,0.113207547,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
