,hour,wind_dir,current_dir,wind_speed,current_speed,wave_height,water_temp,tide_height,tide_variation,cluster
43,0.833333333,0.6775,0.57212963,0.235849057,0.45477707,0.078005865,0.261859163,0.747430742,0.065769806,9
90,0.791666667,0.643611111,0.578796296,0.056603774,0.344023979,0.08973607,0.29655274,0.5571939229999999,0.286248132,9
298,0.666666667,0.0,0.071689815,0.037735849,0.44548519999999997,0.070967742,0.343565852,0.067582663,0.136023916,5
348,0.75,0.035833332999999995,0.10189814800000001,0.32075471699999997,0.321843387,0.184750733,0.39378314700000006,0.153820375,0.06726457400000001,5
349,0.791666667,0.018888889,0.075162037,0.235849057,0.22090670699999998,0.17829912,0.376767825,0.20375335100000003,0.20403587399999998,5
369,0.625,0.887777778,0.497615741,0.216981132,0.24203821600000003,0.10205278599999999,0.352294491,0.5032395000000001,0.188340807,12
371,0.708333333,0.913055556,0.164791667,0.22641509399999998,0.277032596,0.09560117300000001,0.40969357700000003,0.321827525,0.351270553,12
396,0.75,0.802222222,0.157615741,0.066037736,0.28115399,0.052199414000000006,0.42742707700000004,0.332551385,0.197309417,12
468,0.75,0.8380555559999999,0.5019675929999999,0.33962264200000003,0.253802922,0.23753665699999998,0.449303919,0.6209785520000001,0.056801196,19
491,0.708333333,0.998055556,0.553333333,0.160377358,0.328287748,0.159530792,0.46919195700000005,0.64220286,0.092675635,19
493,0.791666667,0.120277778,0.534814815,0.29245283,0.181491195,0.11847507300000001,0.438475987,0.662421805,0.082959641,16
534,0.5,0.810555556,0.106296296,0.264150943,0.322218059,0.31436950199999997,0.406102681,0.247877569,0.11808669699999999,13
538,0.666666667,0.658333333,0.629328704,0.396226415,0.044436118,0.26627566,0.42433338200000004,0.42236371799999994,0.375186846,14
539,0.708333333,0.6547222220000001,0.580277778,0.349056604,0.19160734399999999,0.22580645100000002,0.427648055,0.53295353,0.316890882,14
540,0.75,0.658333333,0.572800926,0.33962264200000003,0.28250281,0.194134897,0.42427813799999997,0.636282395,0.2877429,4
559,0.541666667,0.710555556,0.086087963,0.28301886800000003,0.328962158,0.11026393,0.428973924,0.160522788,0.10762331800000001,13
560,0.583333333,0.74,0.048263889000000004,0.20754717,0.278081678,0.11026393,0.450464054,0.155384272,0.07922272,13
561,0.625,0.778055556,0.131319444,0.198113208,0.16230798,0.11143695,0.48548909799999995,0.20799821300000002,0.24439461899999998,7
562,0.666666667,0.793055556,0.321944444,0.160377358,0.078756088,0.10205278599999999,0.484218474,0.306188561,0.361733931,12
585,0.625,0.6969444440000001,0.038935185,0.28301886800000003,0.274934432,0.036950147,0.470628315,0.110478105,0.334828102,2
610,0.666666667,0.7275,0.044583332999999996,0.235849057,0.29179468,0.082111437,0.534546258,0.10668007199999999,0.162929746,13
611,0.708333333,0.812222222,0.281712963,0.16981132100000002,0.159685275,0.080938416,0.53808191,0.22363717600000002,0.32810164399999997,12
612,0.75,0.065,0.678148148,0.11320754699999999,0.06878980900000001,0.075073314,0.570068504,0.375223414,0.31988041899999997,8
635,0.708333333,0.6775,0.204772727,0.132075472,0.286692326,0.258331112,0.5275151339999999,0.120866845,0.22197309399999998,13
653,0.45833333299999995,0.490833333,0.5623379629999999,0.235849057,0.488497564,0.181818182,0.448254273,0.705875782,0.06427503700000001,3
657,0.625,0.634444444,0.099924242,0.41509434,0.436533942,0.21290322600000003,0.475625435,0.10958445,0.225710015,15
658,0.666666667,0.656944444,0.07835648099999999,0.5660377360000001,0.46376920200000005,0.207624633,0.5448217439999999,0.042113494,0.037369208,15
659,0.708333333,0.653333333,0.12300925900000001,0.301886792,0.382690146,0.195894428,0.567969211,0.07841823099999999,0.230941704,15
660,0.75,0.556944444,0.17819444399999998,0.14150943400000002,0.153390783,0.179472141,0.557307013,0.195263628,0.323617339,6
680,0.625,0.525,0.14093434300000002,0.330188679,0.34914676899999997,0.226979472,0.451157123,0.225089365,0.599402093,6
681,0.666666667,0.5513888889999999,0.0875,0.396226415,0.46684151399999996,0.23636363600000002,0.5038855329999999,0.093610366,0.169656203,15
682,0.708333333,0.499444444,0.097453704,0.358490566,0.468040464,0.22580645100000002,0.559185327,0.066800715,0.021674141,15
683,0.75,0.524444444,0.13636574099999998,0.245283019,0.247283627,0.23519061600000002,0.5651517389999999,0.127234138,0.171898356,15
701,0.5,0.518055556,0.545902778,0.443396226,0.432821281,0.194721408,0.5039407779999999,0.6853217159999999,0.082212257,3
704,0.625,0.533611111,0.22133838399999997,0.367924528,0.262577063,0.20842442,0.474118766,0.341487936,0.352765321,6
705,0.666666667,0.543333333,0.124722222,0.386792453,0.421730985,0.20117302,0.5015652620000001,0.183199285,0.238415546,15
706,0.708333333,0.538888889,0.090138889,0.29245283,0.511037842,0.20938416399999998,0.547650265,0.09092940099999999,0.07249626299999999,15
725,0.5,0.545,0.551875,0.28301886800000003,0.422180592,0.083284457,0.539242045,0.658847185,0.10986547099999999,3
729,0.666666667,0.569722222,0.173009259,0.311320755,0.281603597,0.124340176,0.503056865,0.296023235,0.483557549,6
733,0.833333333,0.549444444,0.121565657,0.179245283,0.185081236,0.12524660099999999,0.538363154,0.23458445,0.37443946200000006,6
774,0.583333333,0.5325,0.565694444,0.528301887,0.19408018,0.429912023,0.568521656,0.62857462,0.140508221,1
775,0.625,0.5527777779999999,0.514259259,0.669811321,0.21393780399999998,0.534897361,0.5503462,0.6248882929999999,0.027653214,1
776,0.666666667,0.553333333,0.465231481,0.688679245,0.157662046,0.606451613,0.543495875,0.5717158179999999,0.343049327,1
777,0.708333333,0.556666667,0.274652778,0.6509433960000001,0.163731735,0.5835777129999999,0.55342985,0.481344951,0.13004484300000002,1
779,0.791666667,0.6447222220000001,0.11150463,0.518867925,0.39932559,0.585337244,0.557693724,0.266867739,0.14499252599999998,10
796,0.5,0.644166667,0.514282408,0.5660377360000001,0.11412514,0.262170088,0.581062169,0.36494638100000004,0.297458894,14
801,0.708333333,0.610555556,0.479768519,0.264150943,0.18396403100000003,0.168914956,0.591558633,0.59383378,0.284753363,4
822,0.583333333,0.515555556,0.471643519,0.452830189,0.101686025,0.25043988300000003,0.609457867,0.413092046,0.33856502200000005,14
823,0.625,0.510277778,0.5399305560000001,0.518867925,0.170625702,0.247507332,0.609789334,0.513069705,0.128550075,14
824,0.666666667,0.5197222220000001,0.560393519,0.462264151,0.237991757,0.254545455,0.6113361820000001,0.586349419,0.11509716,14
825,0.708333333,0.529166667,0.543958333,0.14150943400000002,0.15301611099999998,0.222873901,0.623766205,0.62142538,0.104633782,17
826,0.75,0.553333333,0.45400463,0.424528302,0.128287748,0.205865103,0.621722157,0.606344951,0.17264574,14
843,0.45833333299999995,0.5591666670000001,0.110671296,0.405660377,0.286774073,0.20410557199999999,0.601778875,0.19247095600000003,0.092675635,15
846,0.583333333,0.573333333,0.479351852,0.396226415,0.075608842,0.157771261,0.65199617,0.302613941,0.136023916,14
847,0.625,0.609722222,0.564722222,0.490566038,0.174522293,0.146041056,0.64520109,0.40929401299999996,0.298206278,14
848,0.666666667,0.642222222,0.564143519,0.358490566,0.269089547,0.137243402,0.64520109,0.521336014,0.225710015,4
849,0.708333333,0.630833333,0.566828704,0.198113208,0.320869239,0.128445748,0.65625,0.620420018,0.15321375199999998,4
850,0.75,0.681388889,0.557106481,0.198113208,0.329261896,0.11964809400000001,0.655587066,0.67727882,0.044843049,4
851,0.791666667,0.665277778,0.519143519,0.16981132100000002,0.236268265,0.123167155,0.625975987,0.6757149240000001,0.09865470900000001,4
867,0.45833333299999995,0.673333333,0.14240740699999999,0.150943396,0.28032971100000004,0.09560117300000001,0.629566883,0.23257372699999998,0.419282511,2
872,0.666666667,0.79,0.318726852,0.179245283,0.03499438,0.097947214,0.749558044,0.408512064,0.4245142,20
873,0.708333333,0.800277778,0.5442824079999999,0.216981132,0.21303859100000003,0.08914956,0.7434258990000001,0.556858802,0.23916293,11
874,0.75,0.828333333,0.552847222,0.443396226,0.38816036,0.097947214,0.705141426,0.672922252,0.177130045,19
892,0.5,0.996944444,0.125185185,0.160377358,0.3022855,0.076832845,0.613822187,0.206992851,0.197309417,2
894,0.583333333,0.756388889,0.066736111,0.103773585,0.272836268,0.083870968,0.6344284029999999,0.099865952,0.22645739899999998,2
895,0.625,0.8341666670000001,0.129953704,0.29245283,0.14185088,0.09266862199999999,0.6516094579999999,0.169235925,0.17937219699999998,7
897,0.708333333,0.855555556,0.5931481479999999,0.22641509399999998,0.20944173800000002,0.082111437,0.6718842079999999,0.442470956,0.467862481,20
898,0.75,0.833333333,0.563125,0.273584906,0.373023604,0.06392961900000001,0.656360489,0.60158271,0.371449925,4
918,0.583333333,0.875277778,0.059930555999999996,0.056603774,0.327163732,0.06334310900000001,0.610838981,0.07629580000000001,0.204783259,2
921,0.708333333,0.819722222,0.481296296,0.311320755,0.088572499,0.072727273,0.6382402770000001,0.319146559,0.582959641,20
922,0.75,0.9711111109999999,0.5696527779999999,0.16981132100000002,0.313225927,0.065689149,0.638185033,0.484025916,0.5186846039999999,20
943,0.625,0.726944444,0.058171296,0.12264150900000001,0.324615961,0.11202346099999999,0.643267531,0.043789097,0.044095665,13
944,0.666666667,0.7172222220000001,0.042847222000000004,0.150943396,0.27223679300000003,0.144281525,0.660724809,0.095509383,0.182361734,13
964,0.5,0.769444444,0.487199074,0.075471698,0.288122892,0.06627566,0.598795669,0.514298481,0.462630792,18
965,0.541666667,0.679722222,0.250601852,0.245283019,0.195878606,0.070381232,0.596585887,0.337243074,0.6128550070000001,18
969,0.708333333,0.8261111109999999,0.077708333,0.14150943400000002,0.17819408,0.099120234,0.6653101060000001,0.13181412,0.289237668,2
970,0.75,0.950277778,0.45537037,0.22641509399999998,0.059722742999999995,0.116129032,0.668182823,0.289544236,0.319133034,20
988,0.5,0.6325,0.529884259,0.330188679,0.443761708,0.058064516,0.599955805,0.589030384,0.321375187,4
990,0.583333333,0.626111111,0.162638889,0.264150943,0.265492694,0.082111437,0.59807749,0.278261841,0.285500747,7
991,0.625,0.6266666670000001,0.091018519,0.28301886800000003,0.413338329,0.076246334,0.62929066,0.132707775,0.365470852,2
992,0.666666667,0.6786111109999999,0.08203703700000001,0.179245283,0.43904083899999996,0.081524926,0.694810695,0.058199285,0.046337817999999996,13
993,0.708333333,0.724166667,0.08699495,0.14150943400000002,0.325113253,0.067022128,0.675349548,0.07964700599999999,0.104633782,13
994,0.75,0.9461111109999999,0.11037037,0.179245283,0.16807793199999999,0.058064516,0.640394815,0.19693923100000002,0.43647234700000004,2
1018,0.75,0.846944444,0.078842593,0.150943396,0.225402773,0.085630499,0.66972967,0.16476765,0.146487294,2
1019,0.791666667,0.851666667,0.267523148,0.264150943,0.076283252,0.06392961900000001,0.657410136,0.294459339,0.538863976,20
1035,0.45833333299999995,0.778333333,0.56525463,0.066037736,0.472311727,0.036363637000000004,0.635312316,0.684651475,0.156950673,4
1039,0.625,0.754166667,0.17694444399999998,0.160377358,0.257624578,0.058064516,0.607579552,0.330205541,0.30717488800000003,7
1040,0.666666667,0.786388889,0.12560185199999999,0.198113208,0.37204945700000003,0.06334310900000001,0.689672952,0.206881144,0.363976084,2
1041,0.708333333,0.861944444,0.094907407,0.22641509399999998,0.384938179,0.06334310900000001,0.6923246909999999,0.14075067,0.044095665,13
1064,0.666666667,0.896111111,0.15458333300000002,0.349056604,0.271262645,0.135483871,0.633875958,0.302167113,0.21973094199999998,7
1065,0.708333333,0.886111111,0.137800926,0.367924528,0.30550768100000003,0.159530792,0.68077858,0.212578195,0.22720478300000002,2
1089,0.708333333,0.632777778,0.143148148,0.235849057,0.280779318,0.07390029299999999,0.70956099,0.346514745,0.18161435,7
1090,0.75,0.0,0.09895833300000001,0.037735849,0.28047958,0.06686217,0.654979376,0.302613941,0.020926756,5
1138,0.75,0.904444444,0.315416667,0.330188679,0.156912701,0.158944281,0.707793165,0.45487042,0.10089686099999999,19
1157,0.541666667,0.811111111,0.58349537,0.103773585,0.148445111,0.068621701,0.7149749559999999,0.490504915,0.065769806,11
1182,0.583333333,0.713888889,0.5736111110000001,0.216981132,0.144698389,0.09618768400000001,0.696523277,0.46738159100000004,0.05754858,11
1183,0.625,0.703333333,0.572569444,0.273584906,0.20562008199999998,0.069794722,0.7348629940000001,0.521112601,0.189835575,11
1184,0.666666667,0.73,0.571666667,0.22641509399999998,0.249981266,0.09560117300000001,0.734973483,0.566353887,0.082959641,11
1186,0.75,0.805277778,0.5000231479999999,0.198113208,0.19655301600000002,0.073313783,0.726355333,0.6127122429999999,0.056801196,11
1205,0.541666667,0.6963888890000001,0.43525463,0.179245283,0.029374297,0.075659824,0.783588686,0.343386953,0.059043347999999996,11
