['hour'  'wave_height'  'current_dir'  'water_temp'  'wind_speed'],9,{17: 6  15: 10  11: 10  7: 5  12: 7  18: 6  5: 3  10: 6  20: 2  6: 4  9: 15  14: 4  16: 2  13: 3  19: 2  27: 1  21: 2  23: 1  8: 10  24: 1}
['hour'  'dif_tide_height'  'tide_height'],2,{2: 32  4: 16  3: 28  7: 7  6: 7  5: 8  8: 2}
['hour'  'dif_tide_height'  'water_temp'  'wave_height'  'current_speed'  'wind_speed'  'tide_height'],27,{20: 4  32: 3  42: 2  26: 4  40: 2  41: 2  18: 4  27: 6  19: 6  23: 4  50: 1  36: 1  21: 5  33: 1  16: 5  17: 3  45: 3  48: 1  13: 1  14: 3  28: 4  34: 3  37: 3  24: 5  35: 2  31: 2  38: 3  39: 1  25: 1  47: 1  15: 2  11: 2  49: 2  30: 3  12: 2  22: 1  44: 1  9: 1}
['hour'  'dif_tide_height'  'current_dir'  'water_temp'  'current_speed'  'wind_dir'],32,{23: 3  50: 4  46: 3  41: 5  33: 5  34: 5  38: 5  31: 3  16: 1  44: 3  32: 6  26: 5  35: 4  13: 1  37: 3  48: 4  47: 5  19: 3  39: 2  30: 2  21: 3  45: 2  29: 2  24: 1  36: 3  20: 1  40: 2  25: 2  43: 4  27: 2  18: 1  17: 1  49: 1  11: 1  14: 1  28: 1}
['hour'  'current_dir'  'water_temp'  'wind_speed'],5,{3: 15  7: 11  5: 20  2: 11  6: 14  4: 16  8: 7  12: 1  10: 1  9: 1  11: 2  14: 1}
['hour'  'tide_variation'  'current_speed'  'tide_height'  'wind_speed'],7,{16: 2  6: 11  3: 5  7: 15  5: 11  12: 2  10: 14  9: 12  11: 5  4: 8  8: 12  15: 1  17: 1  14: 1}
['hour'  'current_dir'  'wave_height'  'current_speed'  'wind_speed'  'wind_dir'  'tide_height'],32,{43: 3  25: 3  27: 2  44: 2  36: 3  20: 3  42: 4  37: 4  32: 7  22: 3  16: 4  35: 3  14: 3  12: 4  26: 4  40: 2  48: 3  49: 3  30: 2  29: 3  24: 2  45: 1  33: 4  38: 1  28: 1  17: 2  41: 3  39: 3  21: 4  11: 1  19: 2  46: 1  50: 1  47: 2  10: 1  23: 2  31: 1  13: 1  18: 1  15: 1}
['hour'  'dif_tide_height'  'current_dir'  'water_temp'  'wind_speed'  'tide_variation'  'tide_height'],22,{22: 9  17: 8  25: 5  23: 4  49: 2  30: 2  28: 6  21: 7  36: 1  11: 3  37: 4  27: 5  29: 2  33: 3  41: 3  26: 4  38: 1  35: 2  46: 2  15: 1  13: 1  42: 1  31: 3  34: 2  16: 2  19: 3  20: 2  48: 1  24: 3  18: 3  40: 2  39: 1  14: 2}
['hour'  'dif_tide_height'  'water_temp'  'wave_height'  'current_speed'  'tide_height'],16,{9: 4  13: 7  14: 8  15: 7  16: 10  25: 2  10: 4  36: 1  19: 7  26: 2  34: 1  28: 2  20: 5  38: 2  37: 2  23: 3  21: 2  22: 4  35: 3  17: 9  12: 2  24: 3  30: 2  32: 1  18: 1  31: 1  11: 5}
['hour'  'water_temp'  'wave_height'  'current_speed'  'wind_speed'  'tide_variation'  'tide_height'],20,{14: 6  11: 3  28: 4  38: 3  24: 5  10: 3  13: 6  20: 8  29: 4  34: 3  17: 4  12: 4  23: 2  27: 5  39: 1  30: 3  19: 6  16: 5  22: 2  15: 4  26: 1  18: 3  21: 3  33: 2  44: 2  32: 2  43: 1  25: 2  42: 1  47: 1  40: 1}
['hour'  'dif_tide_height'  'current_dir'  'water_temp'  'wave_height'  'current_speed'  'tide_variation'  'wind_dir'],42,{41: 4  35: 5  36: 4  39: 3  43: 4  46: 4  42: 11  49: 11  48: 5  30: 4  27: 2  31: 2  33: 2  40: 4  44: 6  47: 6  50: 5  32: 2  28: 3  26: 2  37: 3  34: 2  45: 3  38: 2  29: 1}
['hour'  'dif_tide_height'  'current_dir'  'current_speed'  'wind_speed'  'tide_variation'],14,{13: 5  9: 4  16: 8  18: 2  19: 6  15: 5  32: 2  12: 5  28: 3  26: 5  8: 4  25: 2  31: 2  14: 10  22: 5  27: 2  10: 4  20: 2  17: 6  21: 4  30: 3  29: 2  11: 3  40: 1  43: 1  34: 1  33: 1  38: 1  24: 1}
['hour'  'wave_height'  'water_temp'  'dif_tide_height'  'current_speed'],5,{6: 8  9: 6  17: 2  13: 4  5: 18  8: 13  7: 12  18: 1  4: 9  19: 1  14: 7  10: 7  12: 5  23: 1  15: 2  11: 2  16: 2}
['hour'  'current_dir'  'water_temp'  'wave_height'  'current_speed'  'wind_speed'  'tide_variation'],28,{42: 3  45: 3  48: 4  30: 5  37: 3  13: 1  40: 3  25: 5  18: 4  21: 2  24: 4  14: 3  31: 3  20: 4  33: 2  32: 5  27: 4  49: 3  39: 2  22: 2  28: 7  36: 1  29: 1  50: 2  34: 1  46: 1  23: 3  26: 4  38: 3  44: 2  35: 1  12: 1  43: 4  41: 2  16: 2}
['hour'  'dif_tide_height'  'current_dir'  'water_temp'  'wind_dir'  'tide_height'],20,{33: 4  20: 7  13: 3  28: 3  24: 2  44: 2  46: 4  36: 3  25: 7  16: 2  35: 5  39: 6  34: 2  37: 3  26: 6  29: 2  43: 3  47: 1  31: 4  32: 4  38: 5  50: 2  21: 2  40: 2  19: 1  30: 2  23: 1  27: 3  11: 1  15: 2  22: 2  42: 1  49: 1  18: 1  17: 1}
['hour'  'dif_tide_height'  'current_dir'  'current_speed'  'tide_variation'  'wind_dir'  'tide_height'],38,{47: 5  41: 5  38: 9  44: 4  49: 6  32: 6  27: 3  35: 4  50: 7  26: 4  24: 3  45: 6  43: 1  34: 2  23: 1  48: 6  46: 2  42: 5  20: 1  36: 1  33: 2  25: 1  29: 3  40: 3  30: 2  37: 2  39: 3  28: 1  31: 1  18: 1}
['hour'  'tide_variation'  'current_dir'  'wind_dir'  'current_speed'],7,{7: 14  21: 1  10: 11  11: 9  25: 1  18: 3  17: 1  6: 10  13: 5  8: 7  14: 4  9: 6  42: 1  16: 2  12: 6  15: 5  5: 4  23: 1  4: 6  37: 1  20: 1  26: 1}
['hour'  'dif_tide_height'  'water_temp'  'current_speed'  'wind_speed'  'tide_height'],11,{14: 8  29: 1  15: 9  11: 13  16: 7  19: 8  21: 3  25: 1  30: 1  17: 2  24: 4  8: 5  39: 1  9: 5  10: 6  27: 4  12: 6  5: 1  13: 6  7: 3  20: 3  23: 2  28: 1}
['hour'  'current_dir'  'wind_speed'  'tide_variation'  'wind_dir'  'tide_height'],8,{13: 6  17: 4  43: 1  12: 7  23: 2  8: 13  9: 7  7: 6  25: 1  16: 6  32: 1  10: 12  19: 4  15: 3  11: 10  14: 4  20: 1  33: 3  35: 1  21: 1  6: 2  26: 1  18: 2  45: 1  40: 1}
['hour'  'current_dir'  'water_temp'  'wave_height'  'current_speed'  'wind_speed'  'wind_dir'  'tide_height'],38,{41: 3  45: 4  42: 5  30: 1  18: 1  50: 5  31: 1  35: 5  38: 7  25: 2  49: 3  28: 4  26: 2  23: 4  34: 3  43: 5  47: 6  37: 5  24: 3  27: 7  48: 1  44: 5  39: 3  22: 1  40: 3  36: 3  21: 1  33: 3  17: 1  32: 2  46: 1}
['hour'  'wave_height'  'water_temp'  'tide_variation'  'tide_height'],8,{8: 18  11: 8  13: 7  6: 13  10: 10  7: 18  5: 5  14: 2  9: 10  15: 2  20: 1  16: 2  12: 2  17: 1  4: 1}
['hour'  'dif_tide_height'  'current_dir'  'water_temp'  'wave_height'  'current_speed'  'wind_speed'  'wind_dir'  'tide_height'],50,{39: 4  44: 5  45: 6  43: 4  40: 5  21: 2  49: 7  30: 1  29: 3  50: 8  48: 7  41: 4  27: 1  47: 6  35: 2  25: 2  34: 3  31: 2  46: 5  37: 3  38: 4  36: 5  32: 4  42: 5  24: 1  33: 1}
['hour'  'current_dir'  'wave_height'  'current_speed'  'wind_dir'  'tide_height'],22,{19: 2  17: 3  41: 4  48: 1  43: 1  45: 2  22: 12  38: 3  25: 3  8: 1  40: 1  23: 5  29: 3  42: 1  11: 2  27: 4  32: 3  36: 2  31: 7  16: 3  33: 5  28: 3  30: 6  44: 2  39: 1  35: 2  50: 1  34: 3  24: 2  26: 1  10: 1  37: 2  20: 1  49: 2  18: 2  46: 1  47: 2}
['hour'  'dif_tide_height'  'current_dir'  'wind_speed'],3,{9: 2  12: 2  3: 20  5: 17  10: 3  11: 6  4: 18  7: 10  8: 6  6: 12  14: 2  15: 1  13: 1}
['hour'  'dif_tide_height'  'current_dir'  'wave_height'  'current_speed'  'wind_speed'],17,{23: 6  17: 11  13: 6  9: 3  21: 4  20: 6  16: 9  19: 6  14: 8  18: 6  12: 6  15: 8  26: 2  29: 3  11: 5  31: 2  28: 4  24: 2  8: 1  27: 1  22: 1}
['hour'  'current_dir'  'water_temp'  'wave_height'  'current_speed'  'tide_variation'  'wind_dir'  'tide_height'],50,{40: 4  47: 7  48: 8  50: 9  31: 2  44: 8  38: 2  33: 5  37: 4  45: 5  49: 3  26: 3  34: 1  43: 5  36: 3  21: 1  46: 7  42: 4  35: 2  32: 2  41: 8  29: 3  39: 2  28: 1  25: 1}
['hour'  'dif_tide_height'  'current_dir'  'water_temp'  'current_speed'  'wind_speed'  'wind_dir'],39,{31: 4  25: 4  50: 6  43: 3  42: 5  40: 1  45: 3  28: 7  21: 1  38: 3  36: 7  35: 3  33: 2  44: 2  30: 1  32: 4  48: 4  10: 1  37: 2  47: 2  39: 8  14: 1  22: 1  29: 2  26: 4  18: 1  24: 2  19: 1  34: 2  46: 1  20: 1  41: 3  13: 1  17: 2  49: 3  27: 1  23: 1}
['hour'  'current_dir'  'wind_dir'  'tide_height'  'wind_speed'],8,{8: 19  9: 14  16: 1  7: 16  14: 3  10: 12  12: 5  5: 5  11: 7  13: 4  6: 9  19: 1  15: 2  21: 1  18: 1}
['hour'  'dif_tide_height'  'current_dir'  'water_temp'  'wave_height'  'current_speed'  'wind_speed'  'tide_variation'  'tide_height'],44,{34: 5  44: 8  32: 5  37: 7  40: 5  48: 5  42: 6  30: 2  33: 3  31: 3  36: 6  35: 4  29: 1  45: 3  39: 2  50: 3  47: 3  49: 4  25: 1  43: 6  46: 4  20: 1  41: 7  27: 1  26: 3  28: 1  22: 1}
['hour'  'wave_height'  'current_dir'  'tide_variation'  'wind_dir'],14,{31: 3  14: 9  21: 2  6: 4  18: 5  13: 8  25: 1  7: 6  22: 3  8: 9  12: 6  11: 9  10: 4  16: 3  27: 1  15: 4  9: 9  19: 1  20: 2  23: 1  30: 1  24: 1  40: 1  42: 1  32: 3  26: 2  33: 1}
['hour'  'current_speed'  'wind_speed'],1,{3: 34  2: 23  4: 7  1: 35  5: 1}
['hour'  'wave_height'  'water_temp'],4,{4: 33  5: 25  6: 9  3: 23  2: 7  7: 3}
['hour'  'current_dir'  'wind_speed'],2,{2: 71  3: 22  6: 1  4: 5  5: 1}
['hour'  'wave_height'  'water_temp'  'current_speed'],4,{4: 31  6: 20  5: 28  7: 13  8: 6  3: 2}
['hour'  'dif_tide_height'  'current_dir'  'wave_height'  'current_speed'  'wind_dir'  'tide_height'],40,{45: 2  31: 6  28: 6  40: 10  34: 4  36: 6  44: 7  42: 5  48: 1  47: 4  46: 1  25: 3  20: 1  27: 4  50: 8  33: 2  35: 5  22: 2  37: 3  21: 2  38: 3  26: 1  24: 1  18: 2  49: 2  32: 2  29: 3  13: 1  19: 1  30: 1  39: 1}
['hour'  'current_dir'  'wave_height'  'tide_variation'  'wind_dir'  'tide_height'],28,{44: 4  26: 5  17: 1  36: 5  14: 3  43: 3  27: 2  28: 6  49: 1  9: 2  31: 4  15: 3  25: 3  23: 2  16: 3  32: 5  24: 3  47: 1  8: 2  34: 4  40: 5  33: 3  19: 4  12: 3  20: 2  18: 1  21: 3  38: 3  29: 4  13: 1  41: 1  46: 2  37: 2  42: 1  39: 1  22: 2}
['hour'  'dif_tide_height'  'current_dir'  'wave_height'  'current_speed'  'wind_dir'],41,{33: 5  16: 3  45: 3  27: 4  38: 5  30: 7  22: 4  19: 4  32: 2  29: 5  24: 5  25: 2  34: 6  20: 6  26: 1  46: 2  23: 3  41: 8  15: 1  39: 1  47: 3  35: 2  31: 1  40: 2  21: 3  18: 2  49: 2  48: 1  42: 3  28: 1  14: 1  17: 1  50: 1}
['hour'  'dif_tide_height'  'current_dir'  'water_temp'  'wind_speed'  'tide_height'],16,{20: 7  25: 1  30: 2  23: 3  17: 6  14: 8  13: 5  10: 7  19: 4  16: 10  22: 2  28: 2  12: 5  18: 7  15: 5  7: 1  11: 5  27: 3  9: 4  24: 2  33: 1  21: 4  26: 1  6: 1  35: 1  36: 1  31: 1  29: 1}
['hour'  'wave_height'  'current_speed'  'tide_height'],5,{5: 21  7: 18  8: 11  6: 17  11: 4  10: 6  9: 8  12: 3  4: 8  3: 1  13: 2  17: 1}
['hour'  'wave_height'  'current_dir'  'tide_height'  'wind_speed'],9,{12: 9  9: 13  14: 5  10: 7  15: 7  13: 6  18: 3  19: 3  21: 1  8: 3  5: 7  17: 8  11: 8  6: 7  7: 8  22: 2  16: 3}
['hour'  'dif_tide_height'  'current_dir'  'water_temp'  'wind_speed'  'tide_variation'  'wind_dir'  'tide_height'],37,{40: 3  49: 6  33: 3  45: 7  34: 5  43: 4  25: 3  42: 4  41: 3  47: 9  20: 1  37: 10  39: 3  48: 3  27: 2  50: 7  36: 4  35: 5  32: 3  22: 1  38: 2  44: 3  30: 2  31: 2  29: 2  46: 1  26: 1  24: 1}
