hour,wave_height,current_dir,tide_height,wind_speed,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.708333333,0.107331378,0.545486111,0.394883825,0.330188679,0,1,2,0.103476821,0.285646725,0.044116663,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.01807418
0.75,0.099120234,0.577453704,0.534182306,0.198113208,0,1,8,0.244205298,0.285646725,0.114418438,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.042655064
0.791666667,0.096774194,0.562986111,0.673815907,0.075471698,0,1,8,0.244205298,0.285646725,0.114418438,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.042655064
0.833333333,0.078005865,0.57212963,0.747430742,0.235849057,1,1,8,0.244205298,0.285646725,0.114418438,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.042655064
0.875,0.079765396,0.53400463,0.750670241,0.169811321,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.916666667,0.084457478,0.511365741,0.676720286,0.075471698,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.958333333,0.102052786,0.341157408,0.545911528,0.113207547,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
1,0.11143695,0.131990741,0.367515639,0.066037736,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.041666667,0.117888563,0.073935185,0.203522612,0.018867925,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.083333333,0.118475073,0.053032407,0.109137623,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.125,0.123167155,0.046180556,0.096738159,0.047169811,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.166666667,0.130205279,0.428194444,0.188561215,0.169811321,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.208333333,0.137829912,0.908564815,0.348413762,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.25,0.120821115,0.738310185,0.511282395,0.103773585,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.291666667,0.108504399,0.624259259,0.625335121,0.113207547,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.333333333,0.103225807,0.585208333,0.697944593,0.122641509,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.375,0.117302053,0.547268519,0.69919571,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.416666667,0.11085044,0.539467593,0.625335121,0.254716981,0,1,4,0.280629139,0.285646725,0.134940445,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.049017176
0.458333333,0.09032258,0.495601852,0.508378016,0.066037736,0,1,4,0.280629139,0.285646725,0.134940445,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.049017176
0.5,0.090055985,0.275454545,0.355339589,0.103773585,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.541666667,0.083870968,0.114791667,0.219615728,0.20754717,0,1,1,0.127483444,0.285646725,0.055199655,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.02226739
0.583333333,0.078005865,0.06962963,0.146671135,0.150943396,0,1,1,0.127483444,0.285646725,0.055199655,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.02226739
0.625,0.078592376,0.042430556,0.119079535,0.141509434,0,1,1,0.127483444,0.285646725,0.055199655,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.02226739
0.666666667,0.063929619,0.497800926,0.194258266,0.094339623,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.708333333,0.065742469,0.884191919,0.34707328,0.122641509,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.75,0.064516129,0.716666667,0.4967605,0.056603774,0,1,8,0.244205298,0.285646725,0.114418438,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.042655064
0.791666667,0.136070381,0.610046296,0.671581769,0.169811321,0,1,8,0.244205298,0.285646725,0.114418438,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.042655064
0.833333333,0.114956012,0.566712963,0.804736372,0.264150943,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.875,0.115542522,0.537453704,0.851876676,0.311320755,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.916666667,0.112609971,0.529467593,0.819034853,0.226415094,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.958333333,0.11085044,0.46599537,0.692582663,0.320754717,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
1,0.11026393,0.226805556,0.517426273,0.29245283,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.041666667,0.08914956,0.1075,0.334823979,0.254716981,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.083333333,0.06744868,0.065347222,0.188896336,0.132075472,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.125,0.060997068,0.049050926,0.129579982,0.188679245,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.166666667,0.059237537,0.023888889,0.17727882,0.198113208,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.208333333,0.069794722,0.88,0.289209115,0.132075472,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.25,0.108504399,0.786018519,0.426831993,0.066037736,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.291666667,0.112023461,0.660648148,0.594280608,0.028301887,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.333333333,0.123753665,0.598032408,0.70487042,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.375,0.114369501,0.565601852,0.751005362,0.037735849,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.416666667,0.086803519,0.544212963,0.723748883,0.150943396,0,1,4,0.280629139,0.285646725,0.134940445,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.049017176
0.458333333,0.11085044,0.527824074,0.626117069,0.160377358,0,1,4,0.280629139,0.285646725,0.134940445,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.049017176
0.5,0.121407625,0.469467593,0.481791778,0.188679245,0,1,4,0.280629139,0.285646725,0.134940445,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.049017176
0.541666667,0.102052786,0.206712963,0.321939231,0.150943396,0,1,6,0.138245033,0.285646725,0.060280936,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.024147104
0.583333333,0.11026393,0.12,0.2012958,0.20754717,0,1,1,0.127483444,0.285646725,0.055199655,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.02226739
0.625,0.104985338,0.083078704,0.135835567,0.08490566,0,1,1,0.127483444,0.285646725,0.055199655,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.02226739
0.666666667,0.111810184,0.060656566,0.156389634,0.103773585,0,1,1,0.127483444,0.285646725,0.055199655,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.02226739
0.708333333,0.090909091,0.034074074,0.263851653,0.245283019,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.75,0.103225807,0.733657408,0.409070599,0.198113208,0,1,8,0.244205298,0.285646725,0.114418438,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.042655064
0.791666667,0.08973607,0.578796296,0.557193923,0.056603774,1,1,8,0.244205298,0.285646725,0.114418438,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.042655064
0.833333333,0.097733937,0.56030303,0.721626452,0.037735849,0,1,8,0.244205298,0.285646725,0.114418438,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.042655064
0.875,0.082378033,0.55989899,0.809874888,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.916666667,0.091495601,0.543217593,0.822386059,0.009433962,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.958333333,0.096454279,0.521893939,0.765303842,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
1,0.106744868,0.374143519,0.621648794,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.041666667,0.109890696,0.140984848,0.43230563,0.132075472,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.083333333,0.104985338,0.0725,0.25681412,0.160377358,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.125,0.096187684,0.05474537,0.138181412,0.160377358,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.166666667,0.103812317,0.033472222,0.120420018,0.216981132,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.208333333,0.099706745,0.014675926,0.191465594,0.216981132,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.25,0.106744868,0.889143519,0.334226988,0.179245283,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.291666667,0.09032258,0.716782408,0.493297587,0.264150943,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.333333333,0.080938416,0.615740741,0.627457552,0.169811321,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.375,0.075659824,0.583680556,0.713248436,0.066037736,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.416666667,0.069208211,0.539189815,0.739499553,0.141509434,0,1,4,0.280629139,0.285646725,0.134940445,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.049017176
0.458333333,0.070381232,0.558333333,0.695375335,0.226415094,0,1,4,0.280629139,0.285646725,0.134940445,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.049017176
0.5,0.080351906,0.518981481,0.556411975,0.122641509,0,1,4,0.280629139,0.285646725,0.134940445,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.049017176
0.541666667,0.073900293,0.350069444,0.399575514,0.226415094,0,1,3,0.039735099,0.285646725,0.016276923,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.006940485
0.583333333,0.082697947,0.147407407,0.273905273,0.216981132,0,1,6,0.138245033,0.285646725,0.060280936,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.024147104
0.625,0.090695814,0.091515152,0.174262735,0.235849057,0,1,1,0.127483444,0.285646725,0.055199655,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.02226739
0.666666667,0.107331378,0.080231481,0.142873101,0.377358491,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.708333333,0.109677419,0.07337963,0.213136729,0.320754717,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.75,0.098533724,0.303287037,0.326519214,0.339622642,0,1,3,0.039735099,0.285646725,0.016276923,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.006940485
0.791666667,0.083870968,0.602222222,0.47419571,0.141509434,0,1,8,0.244205298,0.285646725,0.114418438,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.042655064
0.833333333,0.064516129,0.56537037,0.646112601,0.188679245,0,1,8,0.244205298,0.285646725,0.114418438,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.042655064
0.875,0.070861104,0.567878788,0.754244861,0.179245283,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.916666667,0.09032258,0.542986111,0.824620196,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
