hour,wind_dir,current_dir,tide_height,dif_tide_height,drifting,prediction,cluster,p(s|pred),p(drifting),p(~drifting),p(pred|drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.04166666666666666,0.4727777777777778,0.06523148147222223,0.21418054758713134,0.029787234042553193,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.08333333333333333,0.5272222222222223,0.06666666666666668,0.2436327077747989,0.05531914893617021,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.125,0.5763888888888888,0.10768518519444444,0.2906613047587131,0.08085106382978724,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.16666666666666666,0.5341666666666667,0.5296527777777779,0.4057193922922251,0.09361702127659577,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.20833333333333331,0.555,0.6674537036111111,0.5089365504691689,0.09787234042553193,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.25,0.5705555555555556,0.6126388888888891,0.6185210006702411,0.07659574468085106,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.2916666666666667,0.5955555555555556,0.5911574075,0.6744861481233243,0.03404255319148936,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.3333333333333333,0.5486111111111112,0.5424074075,0.6557193920911526,0.05531914893617021,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.375,0.6222222222222222,0.5024074075,0.5802055408847184,0.07659574468085106,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.4166666666666667,0.61,0.41960648138888895,0.4798927613941018,0.08085106382978724,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.4583333333333333,0.6030555555555556,0.2264351851944445,0.3418230563002681,0.07659574468085106,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.5,0.5938888888888889,0.12884259258333333,0.2376005361930295,0.046808510638297884,0,1,9,0.16540084388185655,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.02945112072495505
0.5416666666666666,0.6180555555555556,0.09231481480555556,0.1880026809651474,0.06382978723404256,0,1,9,0.16540084388185655,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.02945112072495505
0.5833333333333334,0.63,0.055,0.19593386950402145,0.05531914893617021,0,1,4,0.10970464135021098,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.019533906603286515
0.625,0.7794444444444445,0.0911111111111111,0.25379803398123324,0.0723404255319149,0,1,7,0.08270042194092828,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.014725560362477526
0.6666666666666666,0.6813888888888889,0.2409490740833333,0.3638274185656836,0.0723404255319149,0,1,1,0.06497890295358649,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.011570083141946626
0.7083333333333334,0.5833333333333334,0.5897222222222223,0.4805630026809651,0.08936170212765958,0,1,5,0.20506329113924052,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.03651337926614325
0.75,0.04027777777777778,0.5564351852777777,0.605786416219839,0.06382978723404256,0,1,6,0.17552742616033756,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.03125425056525842
0.7916666666666666,0.0,0.5691203702777778,0.6960455764075066,0.05106382978723405,0,1,6,0.17552742616033756,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.03125425056525842
0.8333333333333334,0.07222222222222223,0.5465509258333333,0.7294459336461123,0.025531914893617023,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.875,0.043888888888888894,0.5202546297222221,0.7047587131367291,0.042553191489361715,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.9166666666666666,0.05583333333333334,0.4354398147222222,0.5864611260053618,0.0851063829787234,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.9583333333333334,0.13361111111111112,0.17844907408333333,0.4573279713806969,0.08936170212765958,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
1.0,0.11722222222222226,0.10134259258333334,0.3113270777479893,0.1148936170212766,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.04166666666666666,0.09027777777777778,0.0745138888888889,0.1869313936327078,0.046808510638297884,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.08333333333333333,0.12694444444444444,0.05706018519444445,0.17426273458445046,0.017021276595744685,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.125,0.1463888888888889,0.04583333333333333,0.20933869524128687,0.05106382978723405,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
