hour,wind_dir,current_dir,wave_height,tide_variation,drifting,prediction,cluster,p(s|pred),p(drifting),p(~drifting),p(pred|drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.04166666666666666,0.4727777777777778,0.06523148147222223,0.35425219926199464,0.07025411061285501,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.08333333333333333,0.5272222222222223,0.06666666666666668,0.3431085044793217,0.1210762331838565,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.125,0.5763888888888888,0.10768518519444444,0.38240469193722093,0.4775784753363229,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.16666666666666666,0.5341666666666667,0.5296527777777779,0.3618768331640767,0.2473841554559044,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.20833333333333331,0.555,0.6674537036111111,0.29853372464481737,0.21001494768310916,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.25,0.5705555555555556,0.6126388888888891,0.2914956014760108,0.2929745889387145,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.2916666666666667,0.5955555555555556,0.5911574075,0.2697947212363155,0.1681614349775785,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.3333333333333333,0.5486111111111112,0.5424074075,0.2692082112068524,0.2488789237668161,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.375,0.6222222222222222,0.5024074075,0.25043988252209737,0.26681614349775784,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.4166666666666667,0.61,0.41960648138888895,0.30557184781362395,0.3236173393124066,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.4583333333333333,0.6030555555555556,0.2264351851944445,0.34780058682646353,0.4910313901345292,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.5,0.5938888888888889,0.12884259258333333,0.34134897368712,0.21674140508221226,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.5416666666666666,0.6180555555555556,0.09231481480555556,0.33431085051831344,0.2884902840059791,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.5833333333333334,0.63,0.055,0.33137829896337323,0.16068759342301944,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.625,0.7794444444444445,0.0911111111111111,0.2844574783072041,0.4521674140508222,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.6666666666666666,0.6813888888888889,0.2409490740833333,0.2404692085021629,0.1883408071748879,0,1,9,0.12158590308370044,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.18590308370044054,0.022603194317762816
0.7083333333333334,0.5833333333333334,0.5897222222222223,0.20703812345033154,0.43273542600896864,0,1,7,0.09427312775330396,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.18590308370044054,0.01752566515942479
0.75,0.04027777777777778,0.5564351852777777,0.1888563047950396,0.3034379671150972,0,1,5,0.25726872246696036,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.18590308370044054,0.04782704884628074
0.7916666666666666,0.0,0.5691203702777778,0.181818181626233,0.1195814648729447,0,1,5,0.25726872246696036,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.18590308370044054,0.04782704884628074
0.8333333333333334,0.07222222222222223,0.5465509258333333,0.15073313809987873,0.04708520179372197,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.875,0.043888888888888894,0.5202546297222221,0.1348973609700639,0.12257100149476832,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.9166666666666666,0.05583333333333334,0.4354398147222222,0.1677419352886198,0.20104633781763828,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.9583333333333334,0.13361111111111112,0.17844907408333333,0.1782991200418297,0.3071748878923767,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
1.0,0.11722222222222226,0.10134259258333334,0.19706744872658472,0.4917787742899851,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.04166666666666666,0.09027777777777778,0.0745138888888889,0.21759530820354145,0.234678624813154,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.08333333333333333,0.12694444444444444,0.05706018519444445,0.22111436978794471,0.032137518684603884,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.125,0.1463888888888889,0.04583333333333333,0.20762463347979465,0.14125560538116594,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
