hour,wind_dir,wind_speed,wave_height,water_temp,tide_height,dif_tide_height,tide_variation,drifting,prediction,cluster,p(s|pred),p(drifting),p(~drifting),p(pred|drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.25,0.3438888888888889,0.33018867924528306,0.09208211122394888,0.5515615794200242,0.22710008934316356,0.03404255319148936,0.07025411061285501,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.2916666666666667,0.3358333333333334,0.19811320754716985,0.0997067451260309,0.5507881555099554,0.28116621983914203,0.03829787234042553,0.12705530642750376,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.3333333333333333,0.3402777777777778,0.2075471698113208,0.0785923756196111,0.5633839127322877,0.3914209115281501,0.0851063829787234,0.2623318385650225,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.375,0.3438888888888889,0.05660377358490566,0.06217008775652085,0.5743223334779972,0.5251340482573725,0.05106382978723405,0.2720478325859492,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.4166666666666667,0.0,0.01886792452830189,0.08093841644127586,0.576642604545269,0.6284629135388741,0.06808510638297872,0.3221225710014948,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.4583333333333333,0.3358333333333334,0.0849056603773585,0.053372433795512604,0.5794600765555276,0.7088918679624665,0.025531914893617023,0.06352765321375188,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.5,0.3358333333333334,0.09433962264150944,0.04398826980504125,0.5747642900927417,0.7346961575067024,0.017021276595744685,0.03886397608370702,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.5416666666666666,0.32166666666666666,0.17924528301886794,0.05747800611319132,0.5789076312842982,0.6999553170241285,0.046808510638297884,0.2159940209267564,0,1,32,0.040740740740740744,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.7814814814814816,0.03183813443072703
0.5833333333333334,0.3383333333333333,0.4056603773584906,0.0609970676975946,0.5524454919865782,0.6071268987935655,0.06808510638297872,0.14648729446935727,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.625,0.34194444444444444,0.3113207547169811,0.0639296185487225,0.5681349441862509,0.4745308310991956,0.0723404255319149,0.29820627802690586,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.6666666666666666,0.3325,0.3679245283018868,0.0639296185487225,0.5473629939002251,0.33646112600536193,0.0723404255319149,0.3430493273542601,1,1,28,0.02962962962962963,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.7814814814814816,0.023155006858710567
0.7083333333333334,0.3205555555555556,0.33018867924528306,0.07683284482740946,0.5756482026592955,0.2559204646782841,0.03404255319148936,0.09267563527653214,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.75,0.32805555555555554,0.30188679245283023,0.09325513198668743,0.5845978196330579,0.2355898123324397,0.017021276595744685,0.06726457399103139,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.7916666666666666,0.32805555555555554,0.2358490566037736,0.09032258043174723,0.6368591636378489,0.2954647006032172,0.06808510638297872,0.2077727952167414,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.8333333333333334,0.32805555555555554,0.24528301886792456,0.08269794723347751,0.65420595165121,0.4106344951072385,0.06382978723404256,0.19656203288490287,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.875,0.32805555555555554,0.3113207547169811,0.036310317193269284,0.6311137302979122,0.5394325290214477,0.06808510638297872,0.2914798206278027,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.9166666666666666,0.0,0.3113207547169811,0.020527859476956685,0.6117781378496696,0.6621983914209114,0.0723404255319149,0.3654708520179372,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.9583333333333334,0.0,0.2358490566037736,0.008797653961008248,0.5964201536082558,0.7327971400804287,0.021276595744680854,0.05754857997010464,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
1.0,0.0,0.14150943396226418,0.014076246337613188,0.57039997092528,0.7564789993297587,0.01276595744680851,0.02615844544095665,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.04166666666666666,0.32805555555555554,0.11320754716981132,0.017595307922016492,0.5844873309765728,0.7209269108579087,0.03404255319148936,0.2212257100149477,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.08333333333333333,0.32805555555555554,0.2075471698113208,0.013489736308150077,0.5651517385283302,0.6342716709115279,0.05531914893617021,0.17713004484304934,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.125,0.32805555555555554,0.2358490566037736,0.03343108505183134,0.5656489394713171,0.510053619302949,0.08085106382978724,0.42376681614349776,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.16666666666666666,0.32805555555555554,0.2075471698113208,0.0568914953799159,0.5604007070743668,0.3806970509383377,0.06808510638297872,0.3654708520179372,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.20833333333333331,0.0,0.1320754716981132,0.0639296185487225,0.5652069828565727,0.27178284182305623,0.05531914893617021,0.3542600896860987,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.25,0.0,0.12264150943396228,0.0674486801331258,0.5553734533162564,0.2117962466487935,0.017021276595744685,0.08893871449925261,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.2916666666666667,0.0,0.07547169811320756,0.08269794723347751,0.5511196228052802,0.22151474530831095,0.029787234042553193,0.07772795216741404,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.3333333333333333,0.32805555555555554,0.09433962264150944,0.06446280986849567,0.5879627151850215,0.2999329758713136,0.05106382978723405,0.1973094170403588,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.375,0.32805555555555554,0.09433962264150944,0.07448680330193239,0.6154795230894168,0.41197497768096497,0.06808510638297872,0.21748878923766815,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.4166666666666667,0.32805555555555554,0.07547169811320756,0.06627566007419955,0.6260864765398018,0.5226764968498658,0.06808510638297872,0.28400597907324365,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.4583333333333333,0.32805555555555554,0.15094339622641512,0.0492668621816462,0.6103417800118864,0.6185210006702411,0.03404255319148936,0.20926756352765324,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
0.5,0.32805555555555554,0.24528301886792456,0.05102639297384785,0.5978012671177968,0.6639857017426274,0.01276595744680851,0.04409566517189836,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.014694894146948941,0.0,0.0
