hour,wind_dir,water_temp,dif_tide_height,drifting,prediction,cluster,p(s|pred),p(drifting),p(~drifting),p(pred|drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.04166666666666666,0.4727777777777778,0.1747385089642719,0.029787234042553193,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.08333333333333333,0.5272222222222223,0.16667280521999814,0.05531914893617021,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.125,0.5763888888888888,0.16479449010453595,0.08085106382978724,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.16666666666666666,0.5341666666666667,0.16750147345830935,0.09361702127659577,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.20833333333333331,0.555,0.16783294075363386,0.09787234042553193,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.25,0.5705555555555556,0.17341263978297386,0.07659574468085106,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.2916666666666667,0.5955555555555556,0.18551119606231925,0.03404255319148936,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.3333333333333333,0.5486111111111112,0.18694755456303705,0.05531914893617021,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.375,0.6222222222222222,0.1881629344249156,0.07659574468085106,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.4166666666666667,0.61,0.18633986430063065,0.08085106382978724,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.4583333333333333,0.6030555555555556,0.19904611084238266,0.07659574468085106,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.5,0.5938888888888889,0.2068908366107516,0.046808510638297884,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.5416666666666666,0.6180555555555556,0.19965380110478906,0.06382978723404256,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.5833333333333334,0.63,0.21926561585717907,0.05531914893617021,0,1,4,0.07786116322701689,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.1979362101313321,0.015411543565572764
0.625,0.7794444444444445,0.2367781381811369,0.0723404255319149,0,1,1,0.13602251407129456,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.1979362101313321,0.02692378092780784
0.6666666666666666,0.6813888888888889,0.2440704186782767,0.0723404255319149,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.7083333333333334,0.5833333333333334,0.2372200941329465,0.08936170212765958,0,1,4,0.07786116322701689,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.1979362101313321,0.015411543565572764
0.75,0.04027777777777778,0.2525780790372949,0.06382978723404256,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.7916666666666666,0.0,0.2536277252515111,0.05106382978723405,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.8333333333333334,0.07222222222222223,0.2419711255869099,0.025531914893617023,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.875,0.043888888888888894,0.21992855044782836,0.042553191489361715,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.9166666666666666,0.05583333333333334,0.1829699470191428,0.0851063829787234,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.9583333333333334,0.13361111111111112,0.18959929292563335,0.08936170212765958,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
1.0,0.11722222222222226,0.20545447877296866,0.1148936170212766,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.04166666666666666,0.09027777777777778,0.18015247500888432,0.046808510638297884,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.08333333333333333,0.12694444444444444,0.19694681775101566,0.017021276595744685,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.125,0.1463888888888889,0.18871538035907956,0.05106382978723405,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.16666666666666666,0.2222222222222222,0.21550898628918969,0.0851063829787234,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.20833333333333331,0.02861111111111111,0.2299278136358067,0.11914893617021274,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
0.25,0.1461111111111111,0.2253425164924403,0.059574468085106386,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.2129514321295143,0.0,0.0
