hour,wind_speed,tide_height,dif_tide_height,tide_variation,drifting,prediction,cluster,p(s|pred),p(drifting),p(~drifting),p(pred|drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.04166666666666666,0.339622641509434,0.21418054758713134,0.029787234042553193,0.07025411061285501,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.08333333333333333,0.2641509433962264,0.2436327077747989,0.05531914893617021,0.1210762331838565,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.125,0.5283018867924528,0.2906613047587131,0.08085106382978724,0.4775784753363229,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.16666666666666666,0.339622641509434,0.4057193922922251,0.09361702127659577,0.2473841554559044,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.20833333333333331,0.4150943396226416,0.5089365504691689,0.09787234042553193,0.21001494768310916,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.25,0.3679245283018868,0.6185210006702411,0.07659574468085106,0.2929745889387145,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.2916666666666667,0.4339622641509434,0.6744861481233243,0.03404255319148936,0.1681614349775785,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.3333333333333333,0.2358490566037736,0.6557193920911526,0.05531914893617021,0.2488789237668161,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.375,0.4622641509433963,0.5802055408847184,0.07659574468085106,0.26681614349775784,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.4166666666666667,0.4622641509433963,0.4798927613941018,0.08085106382978724,0.3236173393124066,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.4583333333333333,0.5094339622641509,0.3418230563002681,0.07659574468085106,0.4910313901345292,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.5,0.5,0.2376005361930295,0.046808510638297884,0.21674140508221226,0,1,6,0.20042046250875964,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.14786264891380518,0.02963470048307518
0.5416666666666666,0.3962264150943397,0.1880026809651474,0.06382978723404256,0.2884902840059791,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.5833333333333334,0.2075471698113208,0.19593386950402145,0.05531914893617021,0.16068759342301944,0,1,6,0.20042046250875964,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.14786264891380518,0.02963470048307518
0.625,0.15094339622641512,0.25379803398123324,0.0723404255319149,0.4521674140508222,0,1,2,0.16678346180798878,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.14786264891380518,0.02466104445794368
0.6666666666666666,0.14150943396226418,0.3638274185656836,0.0723404255319149,0.1883408071748879,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.7083333333333334,0.1320754716981132,0.4805630026809651,0.08936170212765958,0.43273542600896864,0,1,2,0.16678346180798878,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.14786264891380518,0.02466104445794368
0.75,0.1037735849056604,0.605786416219839,0.06382978723404256,0.3034379671150972,0,1,3,0.31254379817799577,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.14786264891380518,0.04621355390018017
0.7916666666666666,0.0,0.6960455764075066,0.05106382978723405,0.1195814648729447,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.8333333333333334,0.07547169811320756,0.7294459336461123,0.025531914893617023,0.04708520179372197,0,1,3,0.31254379817799577,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.14786264891380518,0.04621355390018017
0.875,0.0849056603773585,0.7047587131367291,0.042553191489361715,0.12257100149476832,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.9166666666666666,0.1320754716981132,0.5864611260053618,0.0851063829787234,0.20104633781763828,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.9583333333333334,0.22641509433962265,0.4573279713806969,0.08936170212765958,0.3071748878923767,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
1.0,0.2547169811320755,0.3113270777479893,0.1148936170212766,0.4917787742899851,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.04166666666666666,0.2547169811320755,0.1869313936327078,0.046808510638297884,0.234678624813154,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.08333333333333333,0.339622641509434,0.17426273458445046,0.017021276595744685,0.032137518684603884,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.125,0.2924528301886793,0.20933869524128687,0.05106382978723405,0.14125560538116594,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.16666666666666666,0.2547169811320755,0.302725647922252,0.0851063829787234,0.15769805680119586,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.20833333333333331,0.2641509433962264,0.4381143878686327,0.11914893617021274,0.5642750373692077,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.25,0.33018867924528306,0.5536193029490616,0.059574468085106386,0.20553064275037367,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.2916666666666667,0.02830188679245283,0.6290214477211795,0.05531914893617021,0.10014947683109117,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.3333333333333333,0.1320754716981132,0.6649910636729222,0.017021276595744685,0.04783258594917787,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.375,0.04716981132075472,0.6301385167560322,0.06382978723404256,0.16143497757847536,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.4166666666666667,0.1037735849056604,0.5250223413538874,0.09361702127659577,0.4446935724962631,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.4583333333333333,0.2075471698113208,0.4072832886729222,0.06808510638297872,0.36696562032884905,0,1,2,0.16678346180798878,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.14786264891380518,0.02466104445794368
0.5,0.3207547169811321,0.271112600536193,0.08085106382978724,0.3587443946188341,0,1,2,0.16678346180798878,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.14786264891380518,0.02466104445794368
0.5416666666666666,0.4339622641509434,0.17147006253351202,0.05106382978723405,0.11509715994020925,0,1,6,0.20042046250875964,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.14786264891380518,0.02963470048307518
0.5833333333333334,0.3584905660377359,0.136617515616622,0.029787234042553193,0.0687593423019432,0,1,6,0.20042046250875964,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.14786264891380518,0.02963470048307518
0.625,0.2641509433962264,0.15113941018766755,0.05106382978723405,0.19880418535127056,0,1,6,0.20042046250875964,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.14786264891380518,0.02963470048307518
0.6666666666666666,0.3490566037735849,0.2583780160857909,0.08085106382978724,0.42301943198804187,0,1,2,0.16678346180798878,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.14786264891380518,0.02466104445794368
0.7083333333333334,0.33018867924528306,0.39488382486595175,0.0723404255319149,0.2705530642750374,0,1,3,0.31254379817799577,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.14786264891380518,0.04621355390018017
0.75,0.19811320754716985,0.5341823056300268,0.09361702127659577,0.21898355754858,0,1,3,0.31254379817799577,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.14786264891380518,0.04621355390018017
0.7916666666666666,0.07547169811320756,0.6738159068364611,0.059574468085106386,0.2877428998505232,0,1,3,0.31254379817799577,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.14786264891380518,0.04621355390018017
0.8333333333333334,0.2358490566037736,0.7474307419571046,0.021276595744680854,0.06576980568011959,1,1,3,0.31254379817799577,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.14786264891380518,0.04621355390018017
0.875,0.169811320754717,0.7506702412868632,0.029787234042553193,0.0695067264573991,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.9166666666666666,0.07547169811320756,0.6767202861930295,0.05531914893617021,0.2683109118086697,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.9583333333333334,0.11320754716981132,0.5459115281501339,0.09787234042553193,0.3034379671150972,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
1.0,0.0660377358490566,0.3675156389410188,0.09361702127659577,0.4730941704035875,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.04166666666666666,0.01886792452830189,0.2035226123994638,0.0851063829787234,0.2017937219730942,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.08333333333333333,0.0849056603773585,0.10913762285522788,0.029787234042553193,0.09118086696562032,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.125,0.04716981132075472,0.09673815904825736,0.03404255319148936,0.09940209267563528,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.16666666666666666,0.169811320754717,0.18856121534852546,0.07659574468085106,0.2653213751868461,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.20833333333333331,0.15094339622641512,0.34841376226541554,0.10638297872340426,0.5874439461883408,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.25,0.1037735849056604,0.5112823949731903,0.08936170212765958,0.39910313901345296,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.2916666666666667,0.11320754716981132,0.6253351206434316,0.05531914893617021,0.2354260089686099,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.3333333333333333,0.12264150943396228,0.6979445931635387,0.03404255319148936,0.08893871449925261,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.375,0.0849056603773585,0.6991957104557639,0.025531914893617023,0.04334828101644245,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.4166666666666667,0.2547169811320755,0.6253351206434316,0.059574468085106386,0.26307922272047835,0,1,1,0.09880868955851436,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.14786264891380518,0.014610114573823777
0.4583333333333333,0.0660377358490566,0.5083780160857908,0.0723404255319149,0.4125560538116592,0,1,2,0.16678346180798878,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.14786264891380518,0.02466104445794368
