hour,wave_height,water_temp,tide_variation,tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.708333333,0.107331378,0.276443724,0.270553064,0.394883825,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.75,0.099120234,0.287050678,0.218983558,0.534182306,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.791666667,0.096774194,0.283128315,0.2877429,0.673815907,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.833333333,0.078005865,0.261859163,0.065769806,0.747430742,1,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.875,0.079765396,0.271858426,0.069506726,0.750670241,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.916666667,0.084457478,0.226613141,0.268310912,0.676720286,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.958333333,0.102052786,0.200592958,0.303437967,0.545911528,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
1,0.11143695,0.221585887,0.47309417,0.367515639,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.041666667,0.117888563,0.211641868,0.201793722,0.203522612,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.083333333,0.118475073,0.205343989,0.091180867,0.109137623,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.125,0.123167155,0.213962139,0.099402093,0.096738159,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.166666667,0.130205279,0.198106953,0.265321375,0.188561215,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.208333333,0.137829912,0.202692251,0.587443946,0.348413762,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.25,0.120821115,0.217166323,0.399103139,0.511282395,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.291666667,0.108504399,0.225563494,0.235426009,0.625335121,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.333333333,0.103225807,0.228767678,0.088938714,0.697944593,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.375,0.117302053,0.225397761,0.043348281,0.69919571,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.416666667,0.11085044,0.203907631,0.263079223,0.625335121,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.458333333,0.09032258,0.198714644,0.412556054,0.508378016,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.5,0.090055985,0.202978518,0.236173393,0.355339589,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.541666667,0.083870968,0.21567472,0.27877429,0.219615728,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.583333333,0.078005865,0.220591485,0.086696562,0.146671135,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.625,0.078592376,0.222801267,0.277279522,0.119079535,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.666666667,0.063929619,0.222746022,0.23019432,0.194258266,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.708333333,0.065742469,0.285242674,0.605381166,0.34707328,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.75,0.064516129,0.29412198,0.411061286,0.4967605,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.791666667,0.136070381,0.282078668,0.437219731,0.671581769,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.833333333,0.114956012,0.268654243,0.159192825,0.804736372,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.875,0.115542522,0.231253683,0.193572496,0.851876676,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.916666667,0.112609971,0.206062168,0.205530643,0.819034853,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.958333333,0.11085044,0.209376841,0.26083707,0.692582663,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
1,0.11026393,0.206614614,0.307174888,0.517426273,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.041666667,0.08914956,0.220978197,0.37593423,0.334823979,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.083333333,0.06744868,0.224955804,0.358744395,0.188896336,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.125,0.060997068,0.233352976,0.262331839,0.129579982,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.166666667,0.059237537,0.211089423,0.159940209,0.17727882,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.208333333,0.069794722,0.210592222,0.324364723,0.289209115,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.25,0.108504399,0.212083825,0.508221226,0.426831993,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.291666667,0.112023461,0.220260018,0.205530643,0.594280608,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.333333333,0.123753665,0.227828521,0.471599402,0.70487042,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.375,0.114369501,0.231750884,0.153961136,0.751005362,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.416666667,0.086803519,0.219652327,0.076233184,0.723748883,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.458333333,0.11085044,0.217608279,0.294469357,0.626117069,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.5,0.121407625,0.226944608,0.499252616,0.481791778,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.541666667,0.102052786,0.220978197,0.220478326,0.321939231,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.583333333,0.11026393,0.255616529,0.138266069,0.2012958,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.625,0.104985338,0.264345168,0.108370703,0.135835567,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.666666667,0.111810184,0.27276745,0.168161435,0.156389634,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.708333333,0.090909091,0.269759134,0.218983558,0.263851653,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.75,0.103225807,0.291138775,0.317638266,0.409070599,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.791666667,0.08973607,0.29655274,0.286248132,0.557193923,1,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.833333333,0.097733937,0.262642631,0.180119581,0.721626452,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.875,0.082378033,0.252035678,0.414798206,0.809874888,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.916666667,0.091495601,0.221088686,0.144245142,0.822386059,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.958333333,0.096454279,0.216357743,0.198804185,0.765303842,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
1,0.106744868,0.217718769,0.816143498,0.621648794,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.041666667,0.109890696,0.214911341,0.334828102,0.43230563,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.083333333,0.104985338,0.214569829,0.22122571,0.25681412,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.125,0.096187684,0.2168901,0.121076233,0.138181412,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.166666667,0.103812317,0.217442546,0.103886398,0.120420018,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.208333333,0.099706745,0.228988657,0.26980568,0.191465594,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.25,0.106744868,0.235120802,0.561285501,0.334226988,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.291666667,0.09032258,0.238490719,0.464125561,0.493297587,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.333333333,0.080938416,0.235176046,0.715994021,0.627457552,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.375,0.075659824,0.236501915,0.137518685,0.713248436,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.416666667,0.069208211,0.237662051,0.121823617,0.739499553,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.458333333,0.070381232,0.21020551,0.369207773,0.695375335,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.5,0.080351906,0.215564231,0.270553064,0.556411975,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.541666667,0.073900293,0.216669122,0.357249626,0.399575514,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.583333333,0.082697947,0.210702711,0.404334828,0.273905273,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.625,0.090695814,0.285965875,0.48206278,0.174262735,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.666666667,0.107331378,0.273571008,0.171898356,0.142873101,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.708333333,0.109677419,0.259815115,0.223467862,0.213136729,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.75,0.098533724,0.279979375,0.33632287,0.326519214,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.791666667,0.083870968,0.273791986,0.200298954,0.47419571,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.833333333,0.064516129,0.272134649,0.661434978,0.646112601,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.875,0.070861104,0.250107141,0.19058296,0.754244861,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.916666667,0.09032258,0.234236888,0.198056801,0.824620196,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.958333333,0.076832845,0.214404096,0.059043348,0.817247542,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
1,0.068035191,0.217663524,0.333333333,0.715482574,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.041666667,0.069581445,0.220275084,0.228699552,0.539851888,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.083333333,0.079178886,0.212581026,0.615844544,0.350201072,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.125,0.079178886,0.206448881,0.332585949,0.205093834,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.166666667,0.074486803,0.214901297,0.091180867,0.117180518,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.208333333,0.075659824,0.223298468,0.248878924,0.13538874,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.25,0.072140762,0.235618003,0.178624813,0.240393208,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.291666667,0.069208211,0.243904685,0.282511211,0.370308311,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.333333333,0.076832845,0.246114467,0.417040359,0.508824844,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.375,0.081524926,0.240534767,0.387144993,0.615393208,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.416666667,0.068621701,0.239264143,0.114349776,0.711349419,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.458333333,0.075659824,0.22915439,0.092675635,0.69626899,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.5,0.065102639,0.212304803,0.185351271,0.630808758,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
