,hour,dif_tide_height,current_dir,water_temp,wind_speed,tide_height,cluster
43,0.8333333333333334,0.021276595744680854,0.5721296297222221,0.2618591633063816,0.2358490566037736,0.7474307419571046,3
90,0.7916666666666666,0.08936170212765958,0.5787962963888889,0.29655273999603793,0.05660377358490566,0.5571939231233243,9
298,0.6666666666666666,0.03829787234042553,0.07168981480555556,0.3435658516038793,0.03773584905660378,0.06758266306970509,2
348,0.75,0.03404255319148936,0.1018981481388889,0.39378314684554616,0.3207547169811321,0.15382037533512066,2
349,0.7916666666666666,0.05106382978723405,0.07516203702777778,0.3767678254645752,0.2358490566037736,0.2037533512064343,2
369,0.625,0.05531914893617021,0.4976157408333333,0.3522944906017369,0.2169811320754717,0.503239499530831,9
371,0.7083333333333334,0.0723404255319149,0.16479166666666667,0.4096935770211236,0.22641509433962265,0.32182752459785524,12
396,0.75,0.03829787234042553,0.15761574074999998,0.4274270773209865,0.0660377358490566,0.3325513851876676,5
468,0.75,0.021276595744680854,0.5019675925,0.4493039188124055,0.339622641509434,0.6209785522788203,3
491,0.7083333333333334,0.046808510638297884,0.5533333333333333,0.4691919565318776,0.16037735849056606,0.642202859919571,3
493,0.7916666666666666,0.029787234042553193,0.5348148147222223,0.4384759873861155,0.2924528301886793,0.6624218049597853,3
534,0.5,0.042553191489361715,0.10629629630555557,0.4061026811007966,0.2641509433962264,0.2478775692359249,2
538,0.6666666666666666,0.06382978723404256,0.6293287036111112,0.4243333823436459,0.3962264150943397,0.4223637176273457,14
539,0.7083333333333334,0.06808510638297872,0.5802777777777778,0.4276480552968913,0.3490566037735849,0.5329535299597854,3
540,0.75,0.05106382978723405,0.5728009258333334,0.4242781380154033,0.339622641509434,0.6362823947721178,3
559,0.5416666666666666,0.042553191489361715,0.08608796297222222,0.4289739244781894,0.28301886792452835,0.16052278820375335,2
560,0.5833333333333334,0.025531914893617023,0.04826388888888889,0.4504640543460414,0.2075471698113208,0.15538427164879354,2
561,0.625,0.046808510638297884,0.13131944444444446,0.4854890983310223,0.19811320754716985,0.20799821266756036,2
562,0.6666666666666666,0.07659574468085106,0.3219444444444445,0.4842184741409013,0.16037735849056606,0.3061885611930295,5
585,0.625,0.046808510638297884,0.03893518519444445,0.4706283150325956,0.28301886792452835,0.11047810542895442,2
610,0.6666666666666666,0.05531914893617021,0.044583333333333336,0.5345462580390534,0.2358490566037736,0.10668007151474533,2
611,0.7083333333333334,0.0851063829787234,0.2817129630555556,0.5380819096311379,0.169811320754717,0.223637176072386,5
612,0.75,0.08936170212765958,0.6781481480555556,0.5700685036299558,0.11320754716981132,0.3752234137399463,4
635,0.7083333333333334,0.07659574468085106,0.20477272727777776,0.5275151339945539,0.1320754716981132,0.12086684537533512,2
653,0.4583333333333333,0.03829787234042553,0.5623379630555555,0.4482542725981893,0.2358490566037736,0.7058757821715818,6
657,0.625,0.07659574468085106,0.09992424241666667,0.4756254350988879,0.4150943396226416,0.10958445040214476,2
658,0.6666666666666666,0.017021276595744685,0.07835648147222221,0.5448217441941139,0.5660377358490567,0.04211349416890081,7
659,0.7083333333333334,0.05106382978723405,0.12300925925,0.5679692105385887,0.30188679245283023,0.07841823056300268,2
660,0.75,0.09361702127659577,0.17819444444444446,0.5573070127599609,0.14150943396226418,0.19526362821715815,5
680,0.625,0.08936170212765958,0.14093434344444444,0.4511571226285085,0.33018867924528306,0.22508936548257366,2
681,0.6666666666666666,0.05106382978723405,0.0875,0.503885533221534,0.3962264150943397,0.09361036642091153,2
682,0.7083333333333334,0.004255319148936171,0.09745370369444444,0.5591853272124887,0.3584905660377359,0.06680071494638071,2
