hour,wave_height,water_temp,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.958333333,0.102052786,0.200592958,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
1,0.11143695,0.221585887,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.041666667,0.117888563,0.211641868,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.083333333,0.118475073,0.205343989,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.125,0.123167155,0.213962139,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.166666667,0.130205279,0.198106953,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.208333333,0.137829912,0.202692251,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.25,0.120821115,0.217166323,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.291666667,0.108504399,0.225563494,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.333333333,0.103225807,0.228767678,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.375,0.117302053,0.225397761,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.416666667,0.11085044,0.203907631,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.458333333,0.09032258,0.198714644,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.5,0.090055985,0.202978518,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.541666667,0.083870968,0.21567472,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.583333333,0.078005865,0.220591485,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.625,0.078592376,0.222801267,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.666666667,0.063929619,0.222746022,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.708333333,0.065742469,0.285242674,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.75,0.064516129,0.29412198,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.791666667,0.136070381,0.282078668,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.833333333,0.114956012,0.268654243,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.875,0.115542522,0.231253683,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.916666667,0.112609971,0.206062168,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.958333333,0.11085044,0.209376841,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
1,0.11026393,0.206614614,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.041666667,0.08914956,0.220978197,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.083333333,0.06744868,0.224955804,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.125,0.060997068,0.233352976,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.166666667,0.059237537,0.211089423,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.208333333,0.069794722,0.210592222,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.25,0.108504399,0.212083825,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.291666667,0.112023461,0.220260018,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.333333333,0.123753665,0.227828521,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.375,0.114369501,0.231750884,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.416666667,0.086803519,0.219652327,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.458333333,0.11085044,0.217608279,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.5,0.121407625,0.226944608,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.541666667,0.102052786,0.220978197,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
