hour,wind_dir,wind_speed,water_temp,tide_height,drowning,prediction,cluster,p(s|pred),p(drowning),p(~drowning),p(pred|drowning),p(pred|~drowning),p(drowning|pred),p(drowning|pred)*p(s|pred)
0.04166666666666666,0.4727777777777778,0.339622641509434,0.1747385089642719,0.21418054758713134,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.08333333333333333,0.5272222222222223,0.2641509433962264,0.16667280521999814,0.2436327077747989,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.125,0.5763888888888888,0.5283018867924528,0.16479449010453595,0.2906613047587131,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.16666666666666666,0.5341666666666667,0.339622641509434,0.16750147345830935,0.4057193922922251,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.20833333333333331,0.555,0.4150943396226416,0.16783294075363386,0.5089365504691689,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.25,0.5705555555555556,0.3679245283018868,0.17341263978297386,0.6185210006702411,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.2916666666666667,0.5955555555555556,0.4339622641509434,0.18551119606231925,0.6744861481233243,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.3333333333333333,0.5486111111111112,0.2358490566037736,0.18694755456303705,0.6557193920911526,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.375,0.6222222222222222,0.4622641509433963,0.1881629344249156,0.5802055408847184,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.4166666666666667,0.61,0.4622641509433963,0.18633986430063065,0.4798927613941018,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.4583333333333333,0.6030555555555556,0.5094339622641509,0.19904611084238266,0.3418230563002681,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.5,0.5938888888888889,0.5,0.2068908366107516,0.2376005361930295,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.5416666666666666,0.6180555555555556,0.3962264150943397,0.19965380110478906,0.1880026809651474,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.5833333333333334,0.63,0.2075471698113208,0.21926561585717907,0.19593386950402145,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.625,0.7794444444444445,0.15094339622641512,0.2367781381811369,0.25379803398123324,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.6666666666666666,0.6813888888888889,0.14150943396226418,0.2440704186782767,0.3638274185656836,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.7083333333333334,0.5833333333333334,0.1320754716981132,0.2372200941329465,0.4805630026809651,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.75,0.04027777777777778,0.1037735849056604,0.2525780790372949,0.605786416219839,0,1,1,0.9,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.05344827586206897,0.04810344827586207
0.7916666666666666,0.0,0.0,0.2536277252515111,0.6960455764075066,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.8333333333333334,0.07222222222222223,0.07547169811320756,0.2419711255869099,0.7294459336461123,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.875,0.043888888888888894,0.0849056603773585,0.21992855044782836,0.7047587131367291,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.9166666666666666,0.05583333333333334,0.1320754716981132,0.1829699470191428,0.5864611260053618,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.9583333333333334,0.13361111111111112,0.22641509433962265,0.18959929292563335,0.4573279713806969,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
1.0,0.11722222222222226,0.2547169811320755,0.20545447877296866,0.3113270777479893,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.04166666666666666,0.09027777777777778,0.2547169811320755,0.18015247500888432,0.1869313936327078,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.08333333333333333,0.12694444444444444,0.339622641509434,0.19694681775101566,0.17426273458445046,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.125,0.1463888888888889,0.2924528301886793,0.18871538035907956,0.20933869524128687,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.16666666666666666,0.2222222222222222,0.2547169811320755,0.21550898628918969,0.302725647922252,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
