hour,wind_dir,wind_speed,current_speed,tide_height,tide_variation,drowning,prediction,cluster,p(s|pred),p(drowning),p(~drowning),p(pred|drowning),p(pred|~drowning),p(drowning|pred),p(drowning|pred)*p(s|pred)
0.04166666666666666,0.4727777777777778,0.339622641509434,0.4317721991978748,0.21418054758713134,0.07025411061285501,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.0,0.0
0.08333333333333333,0.5272222222222223,0.2641509433962264,0.3820906705504948,0.2436327077747989,0.1210762331838565,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.0,0.0
0.125,0.5763888888888888,0.5283018867924528,0.21251405017470532,0.2906613047587131,0.4775784753363229,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.0,0.0
0.16666666666666666,0.5341666666666667,0.339622641509434,0.06481828398787068,0.4057193922922251,0.2473841554559044,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.0,0.0
0.20833333333333331,0.555,0.4150943396226416,0.09921318846303323,0.5089365504691689,0.21001494768310916,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.0,0.0
0.25,0.5705555555555556,0.3679245283018868,0.25297864364315964,0.6185210006702411,0.2929745889387145,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.0,0.0
0.2916666666666667,0.5955555555555556,0.4339622641509434,0.3689771449193954,0.6744861481233243,0.1681614349775785,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.0,0.0
0.3333333333333333,0.5486111111111112,0.2358490566037736,0.3354814536593971,0.6557193920911526,0.2488789237668161,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.0,0.0
0.375,0.6222222222222222,0.4622641509433963,0.3229674034271421,0.5802055408847184,0.26681614349775784,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.0,0.0
0.4166666666666667,0.61,0.4622641509433963,0.19617834389265185,0.4798927613941018,0.3236173393124066,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.0,0.0
0.4583333333333333,0.6030555555555556,0.5094339622641509,0.16710378417121774,0.3418230563002681,0.4910313901345292,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.0,0.0
0.5,0.5938888888888889,0.5,0.31764705870039,0.2376005361930295,0.21674140508221226,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.0,0.0
0.5416666666666666,0.6180555555555556,0.3962264150943397,0.3279880103645506,0.1880026809651474,0.2884902840059791,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.0,0.0
0.5833333333333334,0.63,0.2075471698113208,0.2947920568938958,0.19593386950402145,0.16068759342301944,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.0,0.0
0.625,0.7794444444444445,0.15094339622641512,0.20232296731529525,0.25379803398123324,0.4521674140508222,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.0,0.0
0.6666666666666666,0.6813888888888889,0.14150943396226418,0.0377669539038907,0.3638274185656836,0.1883408071748879,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.0,0.0
0.7083333333333334,0.5833333333333334,0.1320754716981132,0.14230048700375467,0.4805630026809651,0.43273542600896864,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.0,0.0
0.75,0.04027777777777778,0.1037735849056604,0.27890595720593625,0.605786416219839,0.3034379671150972,0,1,2,0.6733576642335767,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.05656934306569343,0.03809140071394321
0.7916666666666666,0.0,0.0,0.40052454090834616,0.6960455764075066,0.1195814648729447,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.0,0.0
0.8333333333333334,0.07222222222222223,0.07547169811320756,0.3568377668788591,0.7294459336461123,0.04708520179372197,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.0,0.0
0.875,0.043888888888888894,0.0849056603773585,0.3237167477206582,0.7047587131367291,0.12257100149476832,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.0,0.0
0.9166666666666666,0.05583333333333334,0.1320754716981132,0.15219183207382125,0.5864611260053618,0.20104633781763828,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.0,0.0
0.9583333333333334,0.13361111111111112,0.22641509433962265,0.18493817904030346,0.4573279713806969,0.3071748878923767,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.0,0.0
1.0,0.11722222222222226,0.2547169811320755,0.3829149493363074,0.3113270777479893,0.4917787742899851,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.0,0.0
0.04166666666666666,0.09027777777777778,0.2547169811320755,0.4566504307677131,0.1869313936327078,0.234678624813154,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.1232419547079857,0.0,0.0
