,hour,wind_dir,current_dir,wind_speed,current_speed,wave_height,water_temp,tide_height,dif_tide_height,tide_variation,cluster
43,0.8333333333333334,0.6775,0.5721296297222221,0.2358490566037736,0.4547770698990408,0.07800586488633568,0.2618591633063816,0.7474307419571046,0.021276595744680854,0.06576980568011959,29
90,0.7916666666666666,0.6436111111111111,0.5787962963888889,0.05660377358490566,0.3440239789471819,0.08973607040228412,0.29655273999603793,0.5571939231233243,0.08936170212765958,0.2862481315396114,29
298,0.6666666666666666,0.0,0.07168981480555556,0.03773584905660378,0.4454852003177399,0.07096774171752909,0.3435658516038793,0.06758266306970509,0.03829787234042553,0.1360239162929746,15
348,0.75,0.03583333333333333,0.1018981481388889,0.3207547169811321,0.32184338694190723,0.1847507331811732,0.39378314684554616,0.15382037533512066,0.03404255319148936,0.06726457399103139,15
349,0.7916666666666666,0.01888888888888889,0.07516203702777778,0.2358490566037736,0.2209067065678184,0.1782991200418297,0.3767678254645752,0.2037533512064343,0.05106382978723405,0.2040358744394619,15
369,0.625,0.8877777777777779,0.4976157408333333,0.2169811320754717,0.2420382164902334,0.10205278594769564,0.3522944906017369,0.503239499530831,0.05531914893617021,0.1883408071748879,29
371,0.7083333333333334,0.9130555555555556,0.16479166666666667,0.22641509433962265,0.27703259642718525,0.09560117280835218,0.4096935770211236,0.32182752459785524,0.0723404255319149,0.3512705530642751,10
396,0.75,0.8022222222222223,0.15761574074999998,0.0660377358490566,0.2811539901764059,0.05219941373658637,0.4274270773209865,0.3325513851876676,0.03829787234042553,0.1973094170403588,10
468,0.75,0.8380555555555556,0.5019675925,0.339622641509434,0.25380292233905105,0.2375366569472227,0.4493039188124055,0.6209785522788203,0.021276595744680854,0.05680119581464872,26
491,0.7083333333333334,0.9980555555555556,0.5533333333333333,0.16037735849056606,0.3282877481538941,0.159530792060887,0.4691919565318776,0.642202859919571,0.046808510638297884,0.09267563527653214,26
493,0.7916666666666666,0.12027777777777778,0.5348148147222223,0.2924528301886793,0.1814911951822237,0.11847507310697365,0.4384759873861155,0.6624218049597853,0.029787234042553193,0.08295964125560537,37
534,0.5,0.8105555555555556,0.10629629630555557,0.2641509433962264,0.32221805913362594,0.3143695017746322,0.4061026811007966,0.2478775692359249,0.042553191489361715,0.1180866965620329,27
538,0.6666666666666666,0.6583333333333333,0.6293287036111112,0.3962264150943397,0.04443611838594815,0.2662756596519122,0.4243333823436459,0.4223637176273457,0.06382978723404256,0.37518684603886404,40
539,0.7083333333333334,0.6547222222222222,0.5802777777777778,0.3490566037735849,0.19160734354933728,0.22580645143127426,0.4276480552968913,0.5329535299597854,0.06808510638297872,0.31689088191330345,32
540,0.75,0.6583333333333333,0.5728009258333334,0.339622641509434,0.28250280995868776,0.19413489717164453,0.4242781380154033,0.6362823947721178,0.05106382978723405,0.2877428998505232,32
